# TE  Teff  Mv  Mbol
O3  47300  -6.8  -11.2
O4  44100  -6.7  -10.9
O5  40300  -6.6  -10.5
O6  39000  -6.5  -10.2
O7  35700  -6.5  -10.0
O8  34200  -6.5  -9.8
O9  32600  -6.5  -9.7
B0  26000  -6.4  -8.9
B1  20800  -6.4  -8.3
B2  18500  -6.4  -8.0
B3  16200  -6.3  -7.6
B5  13600  -6.2  -7.2
B6  13000  -6.2  -7.1
B7  12200  -6.2  -7.0
B8  11200  -6.2  -6.9
B9  10300  -6.2  -6.7
A0  9730  -6.3  -6.7
A1  9230  -6.4  -6.7
A2  9080  -6.5  -6.7
A3  8770  -6.5  -6.7
A5  8510  -6.6  -6.7
A7  8150  -6.6  -6.7
A8  7050  -6.6  -6.6
F0  7700  -6.6  -6.6
F2  7350  -6.6  -6.6
F5  6900  -6.6  -6.6
F8  6100  -6.5  -6.6
G0  5550  -6.4  -6.6
G2  5200  -6.3  -6.5
G5  4850  -6.2  -6.5
G8  4600  -6.1  -6.5
K0  4420  -6.0  -6.5
K1  4330  -6.0  -6.6
K2  4250  -5.9  -6.5
K3  4080  -5.9  -6.6
K4  3950  -5.8  -6.7
K5  3850  -5.8  -6.8
K7  3700  -5.7  -6.9
M0  3650  -5.6  -6.9
M1  3550  -5.6  -7.0
M2  3450  -5.6  -7.2
M3  3200  -5.6  -7.7
M4  2980  -5.6  -8.3
M5  2800  -5.6  -9.1
M6  2600  -5.6  -9.5
