# TE  Teff  Mv  Mbol
O3  50000  -6.6  -11.2
O4  45500  -6.5  -10.8
O5  42500  -6.3  -10.3
O6  39500  -6.1  -9.9
O7  37000  -5.9  -9.5
O8  34700  -5.8  -9.2
O9  32000  -5.6  -8.7
B0  29000  -5.1  -8.0
B1  24000  -4.4  -6.8
B2  20300  -3.9  -5.9
B3  17100  -3.0  -4.6
B5  15000  -2.2  -3.5
B6  14100  -1.8  -2.9
B7  13200  -1.5  -2.5
B8  12400  -1.2  -2.0
B9  11000  -0.6  -1.3
A0  10100  +0.0  -0.4
A1  9480  +0.2  -0.1
A2  9000  +0.3  +0.1
A3  8600  +0.5  +0.3
A5  8100  +0.7  +0.6
A7  7650  +1.1  +1.0
A8  7450  +1.2  +1.1
F0  7150  +1.5  +1.4
F2  6870  +1.7  +1.6
F5  6470  +1.6  +1.6
G0  5850  +1.0  +0.8
G2  5450  +0.9  +0.6
G5  5150  +0.9  +0.6
G8  4900  +0.8  +0.4
K0  4750  +0.7  +0.2
K1  4600  +0.6  +0.1
K2  4420  +0.5  -0.1
K3  4200  +0.3  -0.5
K4  4000  +0.0  -0.9
K5  3950  -0.2  -1.2
K7  3850  -0.3  -1.5
M0  3800  -0.4  -1.6
M1  3720  -0.5  -1.9
M2  3620  -0.6  -2.2
M3  3530  -0.6  -2.5
M4  3430  -0.5  -2.7
M5  3330  -0.3  -2.8
M6  3240  -0.2  -2.9
