# TE  Teff  Mv  Mbol
O3  52500  -6.0  -10.7
O4  48000  -5.9  -10.3
O5  44500  -5.7  -10.1
O6  41000  -5.5  -9.4
O7  38000  -5.2  -8.9
O8  35800  -4.9  -8.4
O9  33000  -4.5  -7.8
B0  30000  -4.0  -7.1
B1  25400  -3.2  -5.9
B2  22000  -2.4  -4.7
B3  18700  -1.6  -3.5
B5  15400  -1.2  -2.7
B6  14000  -0.9  -2.1
B7  13000  -0.6  -1.6
B8  11900  -0.2  -1.0
B9  10500  +0.2  -0.3
A0  9520  +0.6  +0.3
A1  9230  +1.0  +0.8
A2  8970  +1.3  +1.1
A3  8720  +1.5  +1.3
A5  8200  +1.9  +1.7
A7  7850  +2.2  +2.1
A8  7580  +2.4  +2.3
F0  7200  +2.7  +2.6
F2  6890  +3.6  +3.5
F5  6440  +3.5  +3.4
F8  6200  +4.0  +3.8
G0  6030  +4.4  +4.2
G2  5860  +4.7  +4.5
G5  5770  +5.1  +4.9
G8  5570  +5.5  +5.1
K0  5250  +5.9  +5.6
K1  5080  +6.1  +5.7
K2  4900  +6.4  +6.0
K3  4730  +6.6  +6.1
K4  4590  +7.0  +6.4
K5  4350  +7.4  +6.7
K7  4060  +8.1  +7.1
M0  3850  +8.8  +7.4
M1  3720  +9.3  +7.7
M2  3580  +9.9  +8.0
M3  3470  +10.4  +8.2
M4  3370  +11.3  +8.9
M5  3240  +12.3  +9.6
M6  3050  +13.5  +10.3
M7  2940  +14.3  +10.8
M8  2640  +16.0  +11.9
