#      D       Lambda1    CL = II
0.00010     60.26240     0
0.00313     59.37230     91
0.00617     58.48217     182
0.00920     57.59200     273
0.01223     56.70190     364
0.01527     55.81177     455
0.01830     54.92170     546
0.02123     54.03153     637
0.02427     53.14140     728
0.02817     52.28793     839
0.03157     51.41387     938
0.03523     50.54810     1045
0.03917     49.69247     1160
0.04263     48.82120     1261
0.04587     47.94277     1352
0.04973     47.08343     1465
0.05383     46.23630     1585
0.05733     45.36870     1687
0.06170     44.53820     1812
0.06593     43.70040     1936
0.07030     42.87300     2064
0.07457     42.04013     2189
0.07893     41.19857     2315
0.08313     40.36217     2437
0.08830     39.57800     2589
0.09273     38.74943     2719
0.09783     37.96040     2869
0.10247     37.14530     3002
0.10700     36.32100     3135
0.11187     35.51883     3278
0.11720     34.74710     3435
0.12363     34.06467     3622
0.12883     33.28417     3775
0.13427     32.52050     3935
0.13953     31.74490     4090
0.14590     31.05380     4275
0.15197     30.34193     4454
0.15803     29.62650     4633
0.16413     28.91377     4813
0.17113     28.29117     5020
0.17767     27.61913     5216
0.18467     26.99507     5423
0.19160     26.36390     5628
0.19880     25.76320     5841
0.20637     25.21297     6065
0.21373     24.63187     6283
0.22130     24.07840     6507
0.22950     23.62310     6750
0.23740     23.11720     6987
0.24563     22.67233     7231
0.25377     22.20807     7472
0.26220     21.80050     7722
0.27087     21.44730     7979
0.27967     21.12590     8243
0.28820     20.73420     8496
0.29720     20.47130     8763
0.30620     20.21070     9030
0.31520     19.95170     9297
0.32433     19.73560     9571
0.33360     19.59180     9846
0.34280     19.42020     10119
0.35197     19.21887     10391
0.36127     19.11443     10667
0.37047     18.93923     10943
0.37983     18.93000     11219
0.38920     18.93000     11499
0.39853     18.83957     11776
0.40783     18.72000     12052
0.41720     18.72000     12330
0.42657     18.72000     12611
0.43593     18.72000     12889
0.44527     18.80753     13166
0.45460     18.89960     13443
0.46393     18.98420     13720
0.47327     19.07247     13997
0.48257     19.18840     14273
0.49187     19.29280     14549
0.50110     19.45550     14823
0.51030     19.62660     15096
0.51953     19.78600     15370
0.52880     19.92650     15645
0.53807     20.07637     15917
0.54680     20.41910     16179
0.55553     20.76173     16441
0.56427     21.10447     16703
0.57300     21.44720     16965
0.58173     21.78983     17227
0.59047     22.13257     17489
0.59920     22.47530     17751
0.60793     22.81793     18013
0.61667     23.16067     18275
0.62540     23.50340     18537
0.63413     23.84603     18799
0.64287     24.18877     19061
0.65160     24.53150     19323
0.66033     24.87413     19585
0.66907     25.21687     19847
0.67780     25.55960     20109
0.68653     25.90223     20371
0.69527     26.24497     20633
0.69990     26.42680     20774
