#      D       Lambda1    CL = III
0.00010     61.79000     0
0.00400     60.98770     117
0.00790     60.18540     234
0.01180     59.38310     351
0.01570     58.58090     468
0.01960     57.77860     585
0.02350     56.97630     702
0.02740     56.17400     819
0.03130     55.37170     936
0.03563     54.59823     1063
0.03967     53.80633     1181
0.04397     53.02587     1307
0.04873     52.27177     1447
0.05287     51.48223     1568
0.05730     50.71070     1698
0.06197     49.95630     1835
0.06680     49.20170     1977
0.07140     48.44350     2112
0.07630     47.69890     2256
0.08097     46.94553     2393
0.08573     46.19433     2533
0.09063     45.45440     2677
0.09610     44.75190     2841
0.10140     44.04150     2997
0.10620     43.29290     3138
0.11130     42.56760     3288
0.11677     41.86870     3449
0.12253     41.19173     3619
0.12830     40.51780     3789
0.13497     39.93213     3986
0.14030     39.22360     4146
0.14630     38.56730     4323
0.15247     37.93087     4505
0.15867     37.29653     4688
0.16520     36.69690     4881
0.17207     36.13107     5084
0.17863     35.53523     5278
0.18577     35.00577     5492
0.19257     34.43163     5693
0.19977     33.91487     5906
0.20723     33.43527     6127
0.21470     32.95670     6348
0.22217     32.47600     6569
0.22980     32.02500     6798
0.23783     31.64427     7036
0.24590     31.27430     7278
0.25403     30.91563     7519
0.26220     30.57050     7761
0.27057     30.27727     8009
0.27903     30.00580     8261
0.28727     29.67653     8507
0.29587     29.45730     8762
0.30457     29.28333     9020
0.31327     29.11263     9281
0.32197     28.94193     9539
0.33067     28.77127     9800
0.33930     28.56310     10056
0.34810     28.44480     10317
0.35693     28.35000     10579
0.36580     28.35000     10845
0.37463     28.27147     11107
0.38350     28.25000     11370
0.39237     28.25000     11633
0.40127     28.25000     11900
0.41017     28.25000     12164
0.41907     28.25000     12428
0.42797     28.25950     12692
0.43677     28.36810     12953
0.44547     28.55647     13214
0.45437     28.56050     13477
0.46320     28.63780     13740
0.47197     28.77490     14000
0.48067     28.94657     14258
0.48933     29.13687     14515
0.49787     29.37783     14768
0.50607     29.72117     15011
0.51463     29.96013     15265
0.52287     30.28947     15512
0.53137     30.54623     15764
0.53950     30.90350     16005
0.54733     31.32300     16237
0.55513     31.74720     16471
0.56293     32.17140     16705
0.57073     32.59560     16939
0.57853     33.01983     17173
0.58633     33.44403     17407
0.59413     33.86823     17641
0.60193     34.29243     17875
0.60973     34.71670     18109
0.61753     35.14090     18343
0.62533     35.56510     18577
0.63313     35.98930     18811
0.64093     36.41350     19045
0.64873     36.83773     19279
0.65653     37.26193     19513
0.66433     37.68613     19747
0.67213     38.11033     19981
0.67993     38.53460     20215
0.68773     38.95880     20449
0.69553     39.38300     20683
0.70000     39.62590     20819
