#      D       Lambda1    CL = IV
0.00000     62.55700     0
0.00607     61.92527     182
0.01217     61.28997     365
0.01827     60.65477     548
0.02437     60.01957     731
0.03047     59.38427     914
0.03657     58.74907     1097
0.04300     58.14940     1284
0.04990     57.60780     1491
0.05647     57.02807     1685
0.06317     56.45863     1882
0.06997     55.89987     2081
0.07697     55.36870     2288
0.08367     54.79997     2486
0.09060     54.26440     2691
0.09740     53.71020     2895
0.10443     53.18247     3103
0.11150     52.66500     3312
0.11853     52.13750     3523
0.12557     51.61390     3731
0.13283     51.12260     3946
0.14020     50.64760     4164
0.14747     50.15853     4379
0.15457     49.64163     4592
0.16193     49.16160     4810
0.16933     48.68930     5029
0.17667     48.20823     5246
0.18410     47.74040     5466
0.19197     47.35077     5702
0.19960     46.91750     5928
0.20707     46.45257     6149
0.21467     46.01763     6374
0.22257     45.63520     6608
0.23047     45.25610     6842
0.23843     44.89073     7078
0.24663     44.58180     7321
0.25460     44.21840     7560
0.26257     43.84873     7796
0.27100     43.60660     8046
0.27937     43.34923     8294
0.28760     43.04340     8541
0.29620     42.86940     8796
0.30477     42.68720     9050
0.31330     42.48360     9303
0.32167     42.21627     9554
0.33037     42.11647     9812
0.33910     42.04400     10071
0.34783     41.97300     10333
0.35660     41.97000     10593
0.36533     42.03610     10852
0.37407     42.10953     11111
0.38280     42.18230     11370
0.39153     42.26463     11632
0.40013     42.43710     11887
0.40870     42.62300     12141
0.41717     42.85803     12392
0.42540     43.15710     12636
0.43357     43.47667     12878
0.44167     43.81563     13118
0.44963     44.18143     13354
0.45767     44.53770     13592
0.46547     44.94167     13823
0.47267     45.44077     14039
0.48047     45.84787     14270
0.48773     46.34230     14485
0.49493     46.84303     14698
0.50217     47.33680     14912
0.50960     47.80630     15135
0.51570     48.44000     15315
0.52273     48.96207     15523
0.52940     49.53270     15720
0.53587     50.12287     15911
0.54240     50.70630     16104
0.54893     51.29583     16297
0.55507     51.92117     16478
0.56073     52.59003     16648
0.56640     53.25890     16818
0.57207     53.92767     16988
0.57773     54.59653     17158
0.58340     55.26540     17328
0.58907     55.93427     17498
0.59473     56.60313     17668
0.60040     57.27200     17838
0.60607     57.94083     18008
0.61173     58.60963     18178
0.61740     59.27850     18348
0.62307     59.94737     18518
0.62873     60.61623     18688
0.63440     61.28510     18858
0.64007     61.95397     19028
0.64573     62.62283     19198
0.65140     63.29160     19368
0.65707     63.96047     19538
0.66273     64.62933     19708
0.66840     65.29820     19878
0.67407     65.96707     20048
0.67973     66.63593     20218
0.68540     67.30480     20388
0.69107     67.97357     20558
0.69673     68.64243     20728
0.70000     69.02800     20828
