#      D       Lambda1    CL = Ia
0.00010     29.98780     0
0.00277     29.48923     80
0.00543     28.99070     160
0.00763     28.46637     223
0.00967     27.93067     283
0.01247     27.43533     365
0.01527     26.93913     446
0.01783     26.43657     523
0.02040     25.93490     597
0.02303     25.43223     676
0.02567     24.92957     755
0.02837     24.43223     833
0.03117     23.94253     917
0.03380     23.44250     993
0.03630     22.93390     1065
0.03893     22.43123     1144
0.04157     21.92857     1223
0.04423     21.42777     1300
0.04693     20.93087     1381
0.04970     20.43980     1461
0.05283     19.96897     1555
0.05597     19.49813     1649
0.05907     19.02640     1739
0.06190     18.53400     1824
0.06517     18.07117     1919
0.06833     17.59733     2011
0.07097     17.09467     2090
0.07360     16.59200     2169
0.07677     16.12160     2261
0.08023     15.67490     2365
0.08363     15.21807     2464
0.08617     14.70643     2540
0.08870     14.19480     2616
0.09190     13.72610     2709
0.09540     13.28000     2814
0.09890     12.83390     2919
0.10237     12.38570     3020
0.10583     11.93700     3124
0.10930     11.48720     3225
0.11273     11.03593     3328
0.11617     10.58523     3428
0.11960     10.13790     3531
0.12303     9.68907     3631
0.12637     9.22753     3731
0.12987     8.78160     3833
0.13353     8.35180     3943
0.13733     7.93070     4054
0.14133     7.53200     4174
0.14483     7.08840     4276
0.14820     6.63420     4377
0.15217     6.23077     4493
0.15603     5.81353     4606
0.15973     5.38283     4717
0.16343     4.95210     4828
0.16747     4.55343     4946
0.17170     4.17970     5073
0.17540     3.75030     5181
0.17907     3.31800     5288
0.18273     2.88690     5398
0.18667     2.48037     5513
0.19103     2.11763     5644
0.19473     1.69000     5752
0.19847     1.26267     5861
0.20320     0.95450     6003
0.20787     0.63623     6140
0.21243     0.30047     6277
0.21710     -0.01650     6414
0.22180     -0.33100     6555
0.22640     -0.65680     6690
0.23070     -1.02540     6819
0.23500     -1.39410     6948
0.23963     -1.71963     7084
0.24430     -2.03960     7221
0.24927     -2.30887     7370
0.25423     -2.57810     7519
0.25897     -2.88813     7658
0.26363     -3.20810     7798
0.26827     -3.53587     7934
0.27287     -3.86880     8071
0.27773     -4.15497     8215
0.28260     -4.44200     8358
0.28747     -4.73013     8504
0.29233     -5.01817     8650
0.29720     -5.30630     8796
0.30207     -5.59433     8942
0.30693     -5.88247     9088
0.31180     -6.17050     9234
0.31667     -6.45863     9380
0.32153     -6.74667     9526
0.32640     -7.03480     9672
0.33127     -7.32283     9818
0.33613     -7.61097     9964
0.34100     -7.89900     10110
0.34587     -8.18713     10256
0.35073     -8.47520     10402
0.35560     -8.76330     10548
0.36047     -9.05133     10694
0.36533     -9.33947     10840
0.37020     -9.62750     10986
0.37507     -9.91563     11132
0.37650     -10.00050     11177
