#      D       Lambda1    CL = Ib
0.00000     53.92500     0
0.00293     53.01043     88
0.00587     52.09590     176
0.00880     51.18130     264
0.01173     50.26670     352
0.01467     49.35210     440
0.01730     48.42400     516
0.01970     47.49660     585
0.02283     46.58357     676
0.02650     45.69420     783
0.02910     44.75800     855
0.03240     43.85550     951
0.03510     42.93370     1029
0.03840     42.03330     1125
0.04163     41.12780     1219
0.04543     40.24857     1327
0.04863     39.34390     1420
0.05267     38.47527     1538
0.05597     37.57737     1634
0.05913     36.67177     1726
0.06250     35.77280     1824
0.06627     34.88607     1934
0.07047     34.02280     2057
0.07467     33.16167     2180
0.07810     32.26400     2280
0.08293     31.43277     2422
0.08720     30.57320     2547
0.09137     29.70880     2666
0.09610     28.87270     2805
0.10050     28.02350     2934
0.10567     27.21680     3086
0.11087     26.40883     3239
0.11580     25.58870     3381
0.12087     24.77163     3530
0.12623     23.97433     3691
0.13130     23.15780     3840
0.13697     22.38667     4004
0.14317     21.65153     4190
0.14940     20.92180     4371
0.15550     20.18030     4551
0.16150     19.43220     4728
0.16860     18.78550     4938
0.17520     18.08800     5136
0.18203     17.41633     5338
0.18923     16.78690     5551
0.19680     16.20110     5775
0.20403     15.57517     5989
0.21167     14.99993     6215
0.21973     14.48237     6454
0.22737     13.90250     6680
0.23570     13.42770     6927
0.24437     13.01450     7184
0.25297     12.58913     7439
0.26150     12.15150     7692
0.27023     11.75983     7951
0.27907     11.38680     8213
0.28800     11.03650     8478
0.29707     10.72693     8750
0.30607     10.39560     9017
0.31520     10.10460     9288
0.32447     9.86960     9563
0.33367     9.59880     9839
0.34277     9.29550     10109
0.35180     8.97390     10377
0.36087     8.66800     10649
0.37023     8.46040     10924
0.37967     8.30230     11204
0.38920     8.20790     11487
0.39867     8.06493     11768
0.40793     7.81510     12040
0.41743     7.69720     12322
0.42687     7.52423     12605
0.43633     7.37127     12883
0.44580     7.23140     13164
0.45527     7.07897     13445
0.46483     7.00213     13732
0.47437     6.91750     14015
0.48393     6.83997     14299
0.49347     6.77213     14585
0.50307     6.76850     14870
0.51267     6.76693     15158
0.52227     6.76540     15446
0.53187     6.76390     15734
0.54147     6.76230     16022
0.55107     6.76080     16310
0.56067     6.75920     16598
0.57027     6.75770     16886
0.57987     6.75610     17174
0.58947     6.75460     17462
0.59907     6.75300     17750
0.60867     6.75150     18038
0.61827     6.74990     18326
0.62787     6.74840     18614
0.63747     6.74680     18902
0.64707     6.74530     19190
0.65667     6.74370     19478
0.66627     6.74220     19766
0.67587     6.74060     20054
0.68547     6.73910     20342
0.69507     6.73750     20630
0.69990     6.73680     20777
