#      D       Lambda1    CL = V
0.00000     67.75320     0
0.00630     67.11710     189
0.01260     66.48090     378
0.01890     65.84480     567
0.02520     65.20860     756
0.03150     64.57240     945
0.03780     63.93630     1134
0.04423     63.31213     1324
0.05077     62.69963     1517
0.05740     62.09990     1713
0.06433     61.52997     1921
0.07097     60.92887     2117
0.07797     60.37063     2324
0.08460     59.77090     2520
0.09093     59.13980     2707
0.09807     58.59763     2918
0.10483     58.01093     3118
0.11217     57.49450     3332
0.11933     56.95700     3547
0.12667     56.44407     3764
0.13437     55.98303     3992
0.14163     55.45957     4207
0.14913     54.97203     4429
0.15707     54.55527     4664
0.16510     54.15740     4905
0.17317     53.76770     5144
0.18113     53.35850     5380
0.18907     52.94340     5615
0.19713     52.55247     5854
0.20537     52.19603     6101
0.21363     51.85083     6346
0.22207     51.55500     6596
0.23073     51.32923     6853
0.23937     51.09753     7109
0.24827     51.00427     7373
0.25713     50.87933     7639
0.26603     50.77130     7903
0.27497     50.69290     8168
0.28390     50.61460     8436
0.29283     50.67497     8701
0.30173     50.76163     8965
0.31060     50.88920     9228
0.31943     51.03587     9490
0.32827     51.18690     9752
0.33677     51.47020     10007
0.34540     51.71220     10263
0.35393     51.98167     10516
0.36223     52.31360     10762
0.37053     52.64910     11008
0.37850     53.06110     11244
0.38660     53.44300     11484
0.39443     53.87877     11716
0.40217     54.33420     11945
0.40997     54.77243     12176
0.41717     55.30690     12392
0.42433     55.84440     12604
0.43153     56.37933     12817
0.43900     56.87560     13038
0.44660     57.34930     13263
0.45337     57.93880     13463
0.46007     58.53397     13661
0.46647     59.16373     13850
0.47353     59.71370     14059
0.48063     60.25847     14269
0.48730     60.85760     14466
0.49367     61.48693     14654
0.50030     62.09170     14850
0.50740     62.63990     15063
0.51413     63.23337     15262
0.52083     63.82677     15460
0.52783     64.38450     15667
0.53397     65.03620     15848
0.53980     65.71950     16023
0.54563     66.40290     16198
0.55147     67.08620     16373
0.55730     67.76950     16548
0.56313     68.45290     16723
0.56897     69.13620     16898
0.57480     69.81950     17073
0.58063     70.50290     17248
0.58647     71.18620     17423
0.59230     71.86950     17598
0.59813     72.55290     17773
0.60397     73.23620     17948
0.60980     73.91950     18123
0.61563     74.60290     18298
0.62147     75.28620     18473
0.62730     75.96950     18648
0.63313     76.65290     18823
0.63897     77.33620     18998
0.64480     78.01950     19173
0.65063     78.70290     19348
0.65647     79.38620     19523
0.66230     80.06950     19698
0.66813     80.75290     19873
0.67397     81.43620     20048
0.67980     82.11950     20223
0.68563     82.80290     20398
0.69147     83.48620     20573
0.69730     84.16950     20748
0.69990     84.47410     20828
