#      D       Lambda1    CL = VI
0.00010     71.03080     0
0.00567     71.35557     167
0.01137     71.66140     335
0.01720     71.94030     510
0.02300     72.22280     681
0.02927     72.37967     866
0.03567     72.47000     1055
0.04213     72.47000     1249
0.04857     72.41320     1439
0.05500     72.34550     1629
0.06120     72.16020     1815
0.06747     72.00003     2000
0.07377     71.84670     2186
0.08000     71.67500     2370
0.08607     71.45190     2552
0.09213     71.23253     2731
0.09823     71.01740     2914
0.10433     70.80010     3094
0.11037     70.57530     3272
0.11640     70.34190     3453
0.12253     70.13533     3634
0.12863     69.92663     3814
0.13460     69.68000     3993
0.14057     69.43340     4172
0.14633     69.13933     4342
0.15200     68.82590     4512
0.15777     68.53503     4682
0.16370     68.28160     4860
0.16943     67.98667     5029
0.17510     67.67850     5199
0.18097     67.40547     5372
0.18687     67.14607     5549
0.19277     66.88027     5723
0.19863     66.60473     5899
0.20450     66.33410     6072
0.21050     66.09780     6252
0.21650     65.86140     6432
0.22267     65.67397     6614
0.22887     65.49663     6797
0.23513     65.33867     6985
0.24143     65.19283     7171
0.24780     65.08410     7362
0.25417     64.97547     7550
0.26053     64.86673     7741
0.26690     64.76910     7929
0.27330     64.68860     8121
0.27970     64.60810     8313
0.28613     64.54247     8503
0.29257     64.49657     8693
0.29900     64.54220     8886
0.30543     64.58783     9079
0.31187     64.64830     9269
0.31827     64.73173     9458
0.32460     64.86230     9648
0.33103     64.93467     9838
0.33750     64.99620     10029
0.34350     65.23160     10209
0.34967     65.42933     10391
0.35587     65.61137     10576
0.36180     65.86440     10752
0.36767     66.13113     10925
0.37347     66.41857     11096
0.37927     66.70030     11270
0.38497     67.00307     11438
0.39053     67.33327     11602
0.39597     67.68407     11765
0.40130     68.05290     11922
0.40657     68.43163     12077
0.41157     68.84543     12227
0.41627     69.28823     12365
0.42073     69.75463     12496
0.42563     70.17393     12643
0.43047     70.60060     12785
0.43520     71.04170     12927
0.43967     71.50860     13058
0.44387     72.00020     13184
0.44820     72.48100     13311
0.45270     72.94390     13446
0.45600     73.50520     13542
0.45957     74.04360     13646
0.46377     74.53560     13772
0.46770     75.05170     13887
0.47123     75.59457     13990
0.47427     76.16673     14081
0.47767     76.72040     14180
0.48107     77.26923     14282
0.48463     77.80850     14386
0.48817     78.35263     14489
0.49137     78.91880     14585
0.49487     79.46513     14687
0.49860     79.99120     14799
0.50233     80.51730     14911
0.50607     81.04330     15023
0.50980     81.56940     15135
0.51353     82.09547     15247
0.51727     82.62150     15359
0.52100     83.14760     15471
0.52473     83.67360     15583
0.52847     84.19970     15695
0.53220     84.72580     15807
0.53420     85.00760     15869
