#      D       Lambda1    CL = II
0.00000     4.21430     0
0.00610     4.79520     183
0.01220     5.37620     366
0.01830     5.95710     549
0.02440     6.53810     732
0.03050     7.11900     915
0.03660     7.70000     1098
0.04270     8.28100     1281
0.04880     8.86190     1464
0.05490     9.44290     1647
0.06100     10.02380     1830
0.06710     10.60480     2013
0.07320     11.18570     2196
0.07930     11.76670     2379
0.08540     12.34760     2562
0.09150     12.92860     2745
0.09760     13.50950     2928
0.10370     14.09050     3111
0.10980     14.67140     3294
0.11590     15.25240     3477
0.12200     15.83330     3660
0.12810     16.41430     3843
0.13420     16.99520     4026
0.14030     17.57620     4209
0.14640     18.15710     4392
0.15250     18.73810     4575
0.15860     19.31900     4758
0.16470     19.90000     4941
0.17080     20.48100     5124
0.17690     21.06190     5307
0.18300     21.64290     5490
0.18910     22.22380     5673
0.19520     22.80480     5856
0.20143     23.37693     6040
0.20760     23.95220     6222
0.21333     24.57340     6388
0.21980     25.11270     6579
0.22617     25.67000     6767
0.23227     26.25157     6947
0.23883     26.79047     7142
0.24547     27.31287     7340
0.25207     27.84310     7535
0.25893     28.33277     7738
0.26603     28.78680     7948
0.27337     29.21390     8164
0.28067     29.64023     8378
0.28797     30.06520     8594
0.29557     30.42957     8819
0.30327     30.77677     9047
0.31110     31.09400     9279
0.31870     31.46010     9504
0.32643     31.79897     9730
0.33450     32.04960     9969
0.34260     32.28350     10209
0.35073     32.50523     10450
0.35890     32.71250     10692
0.36710     32.91520     10935
0.37540     33.05960     11184
0.38377     33.17887     11432
0.39217     33.28057     11681
0.40060     33.29360     11934
0.40903     33.28117     12184
0.41747     33.23820     12434
0.42587     33.17487     12683
0.43427     33.07730     12935
0.44263     32.96577     13183
0.45093     32.81467     13429
0.45913     32.61157     13675
0.46727     32.38663     13916
0.47537     32.14667     14156
0.48340     31.89100     14394
0.49137     31.60827     14633
0.49920     31.29600     14865
0.50707     30.99430     15098
0.51487     30.67090     15329
0.52253     30.31660     15556
0.53007     29.93170     15782
0.53747     29.52863     15998
0.54497     29.13913     16223
0.55257     28.77117     16448
0.56027     28.42600     16679
0.56773     28.03273     16900
0.57510     27.62280     17118
0.58257     27.22930     17339
0.58983     26.79983     17554
0.59710     26.37400     17769
0.60443     25.95323     17986
0.61170     25.52190     18201
0.61887     25.07917     18413
0.62603     24.63273     18625
0.63373     24.28333     18853
0.64060     23.79290     19059
0.64747     23.30237     19265
0.65433     22.81190     19471
0.66120     22.32140     19677
0.66807     21.83097     19883
0.67493     21.34050     20089
0.68180     20.85000     20295
0.68867     20.35950     20501
0.69553     19.86903     20707
0.70000     19.55000     20843
