#      D       Lambda1    CL = III
0.00000     19.64330     0
0.00623     20.12817     187
0.01247     20.61300     374
0.01870     21.09780     561
0.02493     21.58260     748
0.03117     22.06740     935
0.03740     22.55220     1122
0.04363     23.03700     1309
0.04987     23.52183     1496
0.05610     24.00670     1683
0.06233     24.49150     1870
0.06857     24.97630     2057
0.07480     25.46110     2244
0.08103     25.94590     2431
0.08727     26.43073     2618
0.09350     26.91560     2805
0.09973     27.40040     2992
0.10597     27.88520     3179
0.11220     28.37000     3366
0.11843     28.85480     3553
0.12467     29.33960     3740
0.13090     29.82440     3927
0.13713     30.30927     4114
0.14337     30.79410     4301
0.14960     31.27890     4488
0.15583     31.76370     4675
0.16207     32.24850     4862
0.16830     32.73500     5046
0.17437     33.24053     5228
0.18047     33.74563     5405
0.18663     34.24377     5587
0.19287     34.72960     5771
0.19907     35.22270     5951
0.20560     35.67230     6144
0.21160     36.19000     6321
0.21810     36.64220     6513
0.22470     37.08050     6705
0.23130     37.51880     6900
0.23793     37.95067     7093
0.24457     38.38333     7289
0.25123     38.81720     7484
0.25807     39.21150     7685
0.26490     39.61280     7887
0.27193     39.97250     8092
0.27890     40.34700     8301
0.28607     40.68227     8510
0.29327     41.01093     8723
0.30057     41.31763     8939
0.30807     41.57223     9161
0.31560     41.81670     9384
0.32300     42.09730     9603
0.33047     42.35660     9824
0.33807     42.57410     10049
0.34573     42.76293     10276
0.35350     42.91400     10506
0.36130     43.04990     10737
0.36910     43.18280     10968
0.37697     43.26173     11201
0.38483     43.34827     11437
0.39273     43.39597     11671
0.40063     43.41000     11905
0.40853     43.40147     12139
0.41643     43.40000     12373
0.42433     43.36793     12607
0.43223     43.33427     12841
0.44013     43.30770     13075
0.44803     43.25743     13309
0.45587     43.15323     13541
0.46373     43.05917     13774
0.47157     42.95673     14006
0.47940     42.84000     14238
0.48717     42.69857     14468
0.49497     42.56277     14699
0.50277     42.43407     14930
0.51053     42.27977     15160
0.51830     42.12840     15390
0.52597     41.94210     15617
0.53367     41.75580     15848
0.54130     41.54360     16074
0.54903     41.37960     16303
0.55677     41.21833     16532
0.56440     41.01720     16758
0.57193     40.77480     16981
0.57940     40.52000     17202
0.58700     40.29950     17427
0.59440     40.01980     17649
0.60180     39.74000     17871
0.60917     39.45770     18089
0.61647     39.14903     18305
0.62367     38.82063     18521
0.63087     38.49223     18737
0.63807     38.16380     18953
0.64527     37.83540     19169
0.65247     37.50693     19385
0.65967     37.17853     19601
0.66687     36.85013     19817
0.67407     36.52170     20033
0.68127     36.19330     20249
0.68847     35.86483     20465
0.69567     35.53643     20681
0.70000     35.33880     20813
