#      D       Lambda1    CL = IV
0.00000     30.58940     0
0.00583     31.14037     175
0.01167     31.69127     350
0.01750     32.24220     525
0.02333     32.79313     700
0.02917     33.34407     875
0.03500     33.89500     1050
0.04083     34.44593     1225
0.04667     34.99687     1400
0.05250     35.54780     1575
0.05833     36.09873     1750
0.06417     36.64963     1925
0.07000     37.20060     2100
0.07583     37.75147     2275
0.08167     38.30243     2450
0.08750     38.85330     2625
0.09333     39.40427     2800
0.09917     39.95517     2975
0.10500     40.50610     3150
0.11083     41.05703     3325
0.11667     41.60797     3500
0.12250     42.15890     3675
0.12833     42.70983     3850
0.13417     43.26073     4025
0.13977     43.82970     4190
0.14530     44.41000     4350
0.15097     44.97667     4517
0.15663     45.54333     4684
0.16267     46.06750     4862
0.16867     46.59680     5039
0.17457     47.14033     5210
0.18093     47.62243     5398
0.18747     48.08490     5591
0.19370     48.58540     5775
0.20000     49.07700     5961
0.20647     49.54960     6152
0.21287     50.03133     6341
0.21950     50.48050     6537
0.22640     50.88740     6738
0.23320     51.30830     6939
0.24007     51.72073     7142
0.24680     52.15000     7338
0.25380     52.53560     7545
0.26093     52.90023     7756
0.26810     53.25350     7968
0.27537     53.58917     8183
0.28270     53.91260     8400
0.29003     54.22877     8617
0.29740     54.53710     8835
0.30500     54.78410     9060
0.31270     54.99440     9288
0.32040     55.20980     9516
0.32793     55.48250     9739
0.33567     55.68780     9968
0.34347     55.87390     10202
0.35130     56.04190     10434
0.35913     56.20177     10666
0.36700     56.34740     10899
0.37490     56.46490     11133
0.38287     56.53947     11369
0.39083     56.61773     11608
0.39883     56.65167     11845
0.40683     56.68813     12082
0.41480     56.74000     12318
0.42280     56.74000     12558
0.43080     56.74910     12795
0.43880     56.74990     13032
0.44677     56.70947     13271
0.45477     56.66420     13508
0.46273     56.60767     13744
0.47070     56.53490     13980
0.47867     56.46727     14219
0.48660     56.36170     14454
0.49450     56.24080     14688
0.50237     56.10377     14924
0.51027     55.97957     15158
0.51817     55.86620     15392
0.52600     55.70410     15627
0.53367     55.47600     15854
0.54147     55.28947     16085
0.54927     55.10487     16316
0.55697     54.88967     16544
0.56453     54.62830     16768
0.57227     54.41980     17000
0.58000     54.21120     17232
0.58773     54.00270     17464
0.59547     53.79420     17696
0.60320     53.58560     17928
0.61093     53.37710     18160
0.61867     53.16850     18392
0.62640     52.96000     18624
0.63413     52.75150     18856
0.64187     52.54290     19088
0.64960     52.33440     19320
0.65733     52.12580     19552
0.66507     51.91730     19784
0.67280     51.70880     20016
0.68053     51.50020     20248
0.68827     51.29170     20480
0.69600     51.08310     20712
0.70000     50.97530     20834
