#      D       Lambda1    CL = Ib
0.00000     -8.23770     0
0.00663     -7.71023     199
0.01327     -7.18277     398
0.01990     -6.65530     597
0.02653     -6.12783     796
0.03317     -5.60037     995
0.03980     -5.07290     1194
0.04643     -4.54543     1393
0.05307     -4.01797     1592
0.05970     -3.49050     1791
0.06633     -2.96303     1990
0.07297     -2.43553     2189
0.07960     -1.90810     2388
0.08623     -1.38063     2587
0.09287     -0.85313     2786
0.09950     -0.32570     2985
0.10613     0.20183     3184
0.11277     0.72927     3383
0.11940     1.25670     3582
0.12603     1.78423     3781
0.13267     2.31167     3980
0.13930     2.83920     4179
0.14593     3.36663     4378
0.15257     3.89407     4577
0.15920     4.42160     4776
0.16583     4.94903     4975
0.17247     5.47653     5174
0.17910     6.00400     5373
0.18573     6.53143     5572
0.19237     7.05893     5771
0.19900     7.58640     5970
0.20563     8.11387     6169
0.21227     8.64133     6368
0.21890     9.16880     6567
0.22553     9.69627     6766
0.23217     10.22373     6965
0.23880     10.75120     7164
0.24553     11.26357     7363
0.25217     11.79150     7559
0.25880     12.31740     7755
0.26573     12.80393     7960
0.27243     13.32467     8158
0.27950     13.79420     8367
0.28667     14.24623     8579
0.29370     14.71720     8787
0.30110     15.12910     9006
0.30870     15.49970     9231
0.31627     15.88333     9455
0.32367     16.29537     9674
0.33117     16.69060     9896
0.33903     17.00677     10129
0.34687     17.33233     10360
0.35487     17.61097     10598
0.36297     17.85230     10838
0.37113     18.07317     11080
0.37930     18.29030     11322
0.38757     18.46423     11567
0.39597     18.58513     11819
0.40440     18.64870     12069
0.41287     18.70450     12323
0.42133     18.72243     12574
0.42980     18.71930     12825
0.43827     18.68963     13076
0.44673     18.63377     13330
0.45517     18.55877     13577
0.46353     18.41713     13826
0.47183     18.23647     14072
0.48000     18.01980     14316
0.48800     17.74250     14553
0.49603     17.46947     14791
0.50400     17.18420     15027
0.51183     16.86573     15259
0.51957     16.52333     15488
0.52717     16.14783     15713
0.53440     15.70450     15930
0.54180     15.29500     16149
0.54920     14.87960     16368
0.55640     14.43630     16578
0.56370     14.00410     16794
0.57067     13.51950     17000
0.57763     13.03740     17203
0.58430     12.51290     17400
0.59097     11.99390     17594
0.59750     11.45330     17787
0.60393     10.90447     17977
0.61047     10.36723     18170
0.61663     9.78837     18352
0.62280     9.20520     18537
0.62897     8.62207     18722
0.63513     8.03893     18907
0.64130     7.45580     19092
0.64747     6.87263     19277
0.65363     6.28947     19462
0.65980     5.70630     19647
0.66597     5.12317     19832
0.67213     4.54003     20017
0.67830     3.95680     20202
0.68447     3.37367     20387
0.69063     2.79053     20572
0.69680     2.20740     20757
0.70000     1.90480     20855
