#      D       Lambda1    CL = V
0.00010     43.16750     0
0.00600     43.70680     177
0.01190     44.24600     354
0.01780     44.78530     531
0.02370     45.32450     708
0.02960     45.86380     885
0.03550     46.40300     1062
0.04140     46.94230     1239
0.04730     47.48150     1416
0.05320     48.02080     1593
0.05910     48.56000     1770
0.06500     49.09920     1947
0.07090     49.63850     2124
0.07680     50.17770     2301
0.08270     50.71700     2478
0.08860     51.25620     2655
0.09450     51.79550     2832
0.10037     52.33960     3005
0.10560     52.94710     3159
0.11137     53.50497     3329
0.11650     54.11970     3477
0.12190     54.70890     3636
0.12747     55.28477     3800
0.13323     55.84193     3973
0.13910     56.38500     4146
0.14457     56.97253     4307
0.15030     57.52810     4476
0.15623     58.06177     4651
0.16230     58.58120     4830
0.16817     59.12253     5003
0.17450     59.61380     5187
0.18090     60.09560     5376
0.18730     60.57230     5565
0.19393     61.02140     5758
0.20063     61.45597     5956
0.20727     61.90353     6149
0.21373     62.37690     6340
0.22067     62.77637     6545
0.22773     63.15400     6754
0.23457     63.56977     6956
0.24153     63.96443     7162
0.24867     64.32233     7373
0.25583     64.68067     7588
0.26317     64.99657     7802
0.27037     65.34067     8015
0.27783     65.62487     8236
0.28523     65.92867     8455
0.29260     66.24130     8673
0.30040     66.42510     8904
0.30810     66.64270     9135
0.31587     66.82623     9365
0.32343     67.08867     9589
0.33103     67.33353     9814
0.33887     67.49317     10046
0.34673     67.63770     10279
0.35460     67.77750     10512
0.36250     67.90660     10746
0.37043     67.99567     10984
0.37837     68.07410     11219
0.38633     68.14257     11455
0.39430     68.20370     11691
0.40227     68.26873     11930
0.41027     68.24223     12164
0.41827     68.25383     12404
0.42627     68.23880     12641
0.43427     68.19387     12878
0.44227     68.15107     13118
0.45027     68.10830     13358
0.45823     68.04873     13594
0.46607     67.89193     13826
0.47387     67.72070     14060
0.48170     67.55480     14292
0.48953     67.40057     14524
0.49737     67.25107     14759
0.50503     67.01803     14986
0.51257     66.75577     15212
0.52037     66.57227     15443
0.52803     66.34343     15670
0.53563     66.09943     15898
0.54323     65.85553     16126
0.55083     65.61153     16354
0.55843     65.36763     16582
0.56603     65.12363     16810
0.57363     64.87973     17038
0.58123     64.63573     17266
0.58883     64.39183     17494
0.59643     64.14783     17722
0.60403     63.90393     17950
0.61163     63.65993     18178
0.61923     63.41603     18406
0.62683     63.17203     18634
0.63443     62.92813     18862
0.64203     62.68413     19090
0.64963     62.44020     19318
0.65723     62.19623     19546
0.66483     61.95230     19774
0.67243     61.70833     20002
0.68003     61.46440     20230
0.68763     61.22043     20458
0.69523     60.97650     20686
0.70000     60.82350     20831
