#      D       Lambda1     Log(g) = 2.7
0.00000     49.06080     0
0.00530     48.33620     2
0.01018     47.67209     13
0.01504     47.00798     24
0.01990     46.34388     35
0.02478     45.67964     46
0.02964     45.01553     57
0.03450     44.35145     68
0.03938     43.68732     79
0.04427     43.02557     90
0.04957     42.39644     101
0.05551     41.83567     112
0.06067     41.19901     123
0.06592     40.56825     134
0.07204     40.01530     145
0.07836     39.47629     156
0.08435     38.91524     167
0.08976     38.29407     178
0.09606     37.76895     189
0.10214     37.22390     200
0.10822     36.67814     211
0.11437     36.13508     222
0.12101     35.65546     233
0.12753     35.15535     244
0.13382     34.62920     255
0.14021     34.11593     266
0.14690     33.64574     277
0.15404     33.12065     289
0.16118     32.61836     301
0.16860     32.13601     313
0.17532     31.66871     324
0.18213     31.21576     335
0.18962     30.77000     347
0.19696     30.33300     359
0.20458     29.90303     371
0.21242     29.51098     383
0.22030     29.14949     395
0.22813     28.78610     407
0.23548     28.37806     418
0.24273     27.94645     429
0.25088     27.70161     441
0.25911     27.36649     453
0.26673     27.05483     464
0.27525     26.87312     476
0.28378     26.63559     488
0.29240     26.44808     500
0.30108     26.29388     512
0.30982     26.17067     524
0.31856     26.16813     536
0.32731     26.18540     548
0.33607     26.15629     560
0.34482     26.11364     572
0.35359     26.11000     584
0.36231     26.20151     596
0.37102     26.33150     608
0.37972     26.42075     620
0.38841     26.50477     632
0.39707     26.62380     644
0.40569     26.81425     656
0.41430     26.97731     668
0.42285     27.12673     680
0.43133     27.36593     692
0.43987     27.56647     704
0.44760     27.84401     715
0.45610     28.09341     727
0.46446     28.32385     739
0.47221     28.58396     750
0.47984     28.88512     761
0.48743     29.18610     772
0.49561     29.50553     784
0.50307     29.89032     795
0.51053     30.27462     806
0.51799     30.65861     817
0.52544     31.04299     828
0.53290     31.42695     839
0.54036     31.81131     850
0.54782     32.19532     861
0.55528     32.57962     872
0.56274     32.96361     883
0.57019     33.34799     894
0.57765     33.73195     905
0.58511     34.11631     916
0.59257     34.50032     927
0.60003     34.88462     938
0.60749     35.26861     949
0.61494     35.65299     960
0.62240     36.03695     971
0.62986     36.42131     982
0.63732     36.80532     993
0.64478     37.18962     1004
0.65224     37.57361     1015
0.65969     37.95799     1026
0.66715     38.34195     1037
0.67461     38.72631     1048
0.68207     39.11032     1059
0.68953     39.49462     1070
0.69720     39.88032     1083
0.69995     40.00565     1091
