#      D       Lambda1     Log(g) = 3.8
0.00010     61.29440     0
0.00617     60.81123     182
0.01223     60.32803     364
0.01827     59.84753     545
0.02433     59.36433     727
0.03037     58.88383     908
0.03643     58.40063     1090
0.04247     57.92007     1271
0.04853     57.43693     1453
0.05480     56.98290     1638
0.06140     56.57850     1833
0.06783     56.14553     2023
0.07393     55.66980     2203
0.08043     55.24177     2393
0.08653     54.76630     2575
0.09303     54.34950     2767
0.09923     53.88767     2950
0.10573     53.46847     3139
0.11227     53.05380     3332
0.11873     52.62883     3526
0.12500     52.17690     3708
0.13193     51.83107     3913
0.13853     51.43157     4111
0.14557     51.10897     4319
0.15250     50.76470     4521
0.15930     50.39440     4722
0.16613     50.02993     4927
0.17313     49.70003     5131
0.18013     49.37337     5341
0.18723     49.06433     5548
0.19417     48.72127     5753
0.20123     48.40720     5965
0.20853     48.15517     6181
0.21577     47.88397     6395
0.22303     47.62043     6610
0.23053     47.42737     6835
0.23777     47.15280     7049
0.24513     46.91610     7267
0.25257     46.70003     7487
0.26003     46.49157     7711
0.26757     46.32507     7934
0.27513     46.17107     8158
0.28273     46.02577     8386
0.29030     45.86380     8610
0.29780     45.68110     8832
0.30540     45.53970     9060
0.31313     45.53000     9286
0.32087     45.53000     9518
0.32863     45.53000     9746
0.33637     45.53000     9977
0.34407     45.59600     10205
0.35170     45.71020     10431
0.35933     45.82680     10660
0.36700     45.93160     10887
0.37463     46.06163     11113
0.38223     46.20457     11338
0.38990     46.30360     11565
0.39730     46.53050     11784
0.40477     46.73153     12004
0.41217     46.96267     12224
0.41957     47.19110     12440
0.42663     47.50950     12652
0.43403     47.73617     12871
0.44137     47.97387     13088
0.44860     48.24740     13302
0.45583     48.51790     13516
0.46293     48.82510     13726
0.47007     49.11830     13937
0.47710     49.44110     14145
0.48397     49.80203     14350
0.49100     50.12690     14556
0.49803     50.44947     14764
0.50510     50.76360     14976
0.51217     51.07763     15188
0.51923     51.39170     15400
0.52630     51.70580     15612
0.53337     52.01983     15824
0.54043     52.33390     16036
0.54750     52.64800     16248
0.55457     52.96210     16460
0.56163     53.27617     16672
0.56870     53.59020     16884
0.57577     53.90430     17096
0.58283     54.21837     17308
0.58990     54.53240     17520
0.59697     54.84653     17732
0.60403     55.16060     17944
0.61110     55.47470     18156
0.61817     55.78873     18368
0.62523     56.10280     18580
0.63230     56.41690     18792
0.63937     56.73093     19004
0.64643     57.04507     19216
0.65350     57.35910     19428
0.66057     57.67320     19640
0.66763     57.98727     19852
0.67470     58.30130     20064
0.68177     58.61540     20276
0.68883     58.92947     20488
0.69590     59.24360     20700
0.70000     59.42580     20825
