0.0804    86.19075000000001
0.08043     86.18767     0
0.08593     85.67840     166
0.09143     85.16912     331
0.09693     84.65987     496
0.10243     84.15062     661
0.10793     83.64137     826
0.11343     83.13212     991
0.11893     82.62286     1156
0.12443     82.11357     1321
0.12993     81.60432     1486
0.13543     81.09507     1651
0.14093     80.58582     1816
0.14643     80.07656     1981
0.15193     79.56727     2146
0.15743     79.05802     2311
0.16293     78.54877     2476
0.16843     78.03952     2641
0.17393     77.53026     2806
0.17943     77.02097     2971
0.18493     76.51172     3136
0.19043     76.00247     3301
0.19593     75.49322     3466
0.20143     74.98397     3631
0.20678     74.45650     3793
0.21217     73.93683     3956
0.21740     73.40340     4116
0.22248     72.85364     4270
0.22763     72.30667     4426
0.23295     71.77805     4587
0.23807     71.22688     4742
0.24230     70.60895     4866
0.24623     69.96893     4981
0.25075     69.37145     5112
0.25588     68.82724     5263
0.26062     68.24919     5402
0.26538     67.66817     5542
0.27108     67.18419     5704
0.27752     66.80494     5894
0.28318     66.31321     6061
0.28947     65.90617     6251
0.29567     65.48725     6434
0.30203     65.09207     6622
0.30880     64.77265     6822
0.31607     64.58986     7037
0.32340     64.44080     7254
0.33085     64.37795     7479
0.33832     64.30971     7700
0.34578     64.36767     7921
0.35325     64.39085     8142
0.36053     64.56634     8356
0.36782     64.73810     8573
0.37502     64.94866     8786
0.38208     65.19540     8995
0.38918     65.43173     9205
0.39588     65.76225     9403
0.40272     66.06665     9605
0.40965     66.34945     9810
0.41645     66.66160     10011
0.42323     66.98252     10210
0.43023     67.25234     10417
0.43688     67.59479     10618
0.44365     67.91750     10818
0.45017     68.28893     11006
0.45677     68.63979     11201
0.46357     68.94914     11402
0.46990     69.34615     11589
0.47686     69.63344     11795
0.48342     69.99374     11993
0.48995     70.35950     12183
0.49665     70.69395     12381
0.50315     71.06740     12573
0.50958     71.45427     12763
0.51630     71.78550     12963
0.52307     72.10744     13163
0.52973     72.44655     13366
0.53652     72.76684     13571
0.54325     73.09410     13776
0.55002     73.41347     13982
0.55675     73.74160     14187
0.56363     74.03392     14395
0.57040     74.35190     14601
0.57712     74.68130     14804
0.58378     75.02444     15004
0.59045     75.36745     15204
0.59712     75.71060     15404
0.60378     76.05366     15604
0.61045     76.39675     15804
0.61712     76.73985     16004
0.62378     77.08290     16204
0.63045     77.42590     16404
0.63712     77.76906     16604
0.64378     78.11210     16804
0.65045     78.45520     17004
0.65712     78.79829     17204
0.66378     79.14135     17404
0.67045     79.48450     17604
0.67712     79.82751     17804
0.68378     80.17056     18004
0.69045     80.51365     18204
0.69712     80.85674     18404
0.69998     81.00426     18490
