0.3948    85.56700000000001
0.39438     85.04566     0
0.39395     84.49951     23
0.39351     83.95335     45
0.39308     83.40719     67
0.39264     82.86103     89
0.39220     82.31487     111
0.39177     81.76871     133
0.39133     81.22256     155
0.39089     80.67640     177
0.39045     80.13024     199
0.39002     79.58408     221
0.38958     79.03792     243
0.38915     78.49176     265
0.38871     77.94560     287
0.38827     77.39944     309
0.38784     76.85329     331
0.38740     76.30713     353
0.38696     75.76097     375
0.38652     75.21481     397
0.38609     74.66865     419
0.38581     74.10725     441
0.38565     73.55667     463
0.38544     73.01067     485
0.38498     72.45417     507
0.38491     71.90370     529
0.38496     71.34857     551
0.38602     70.81326     572
0.38670     70.25979     594
0.38772     69.72707     615
0.38879     69.19298     636
0.38963     68.63514     658
0.39077     68.08915     680
0.39186     67.53591     702
0.39306     66.99778     724
0.39543     66.48630     746
0.39768     65.98396     767
0.39950     65.45035     789
0.40197     64.97001     810
0.40482     64.50574     831
0.40759     64.03616     852
0.41048     63.57541     873
0.41336     63.11732     894
0.41603     62.64605     915
0.41913     62.20309     936
0.42267     61.79188     957
0.42617     61.37684     978
0.42978     60.97147     999
0.43352     60.57913     1020
0.43736     60.20024     1041
0.44159     59.82889     1063
0.44617     59.49800     1085
0.45072     59.20511     1106
0.45543     58.93872     1127
0.46033     58.70657     1148
0.46538     58.50623     1169
0.47047     58.31607     1190
0.47561     58.14801     1211
0.48100     57.98094     1233
0.48669     57.91606     1248
0.49217     57.90109     1259
0.49757     57.84199     1270
0.50327     57.71314     1282
0.50869     57.67042     1293
0.51412     57.66039     1304
0.51961     57.69670     1315
0.52513     57.75213     1326
0.53055     57.79462     1337
0.53596     57.84147     1348
0.54140     57.91101     1359
0.54683     57.99619     1370
0.55223     58.08274     1381
0.55759     58.18946     1392
0.56293     58.30739     1403
0.56831     58.42050     1414
0.57369     58.52267     1425
0.57908     58.62656     1436
0.58446     58.73324     1447
0.58984     58.84049     1458
0.59523     58.94775     1469
0.60061     59.05493     1480
0.60599     59.16216     1491
0.61138     59.26936     1502
0.61676     59.37661     1513
0.62214     59.48377     1524
0.62753     59.59104     1535
0.63291     59.69819     1546
0.63829     59.80544     1557
0.64368     59.91270     1568
0.64906     60.01988     1579
0.65444     60.12711     1590
0.66001     60.22456     1600
0.66534     60.31231     1609
0.67076     60.40002     1618
0.67617     60.48771     1627
0.68158     60.57550     1636
0.68700     60.66314     1645
0.69241     60.75089     1654
0.69794     60.86252     1667
0.69863     60.87866     1670
