#     D        Lambda1     Mbol = -0.5
0.36710     85.42000     0
0.36700     84.82000     9
0.36690     84.22000     18
0.36680     83.62000     27
0.36670     83.02000     36
0.36660     82.42000     45
0.36650     81.82000     54
0.36640     81.22000     63
0.36630     80.62000     72
0.36620     80.02000     81
0.36610     79.42000     90
0.36600     78.82000     99
0.36590     78.22000     108
0.36580     77.62000     117
0.36570     77.02000     126
0.36560     76.42000     135
0.36550     75.82000     144
0.36540     75.22000     153
0.36530     74.62000     162
0.36520     74.02000     171
0.36510     73.42000     180
0.36500     72.82000     189
0.36490     72.22000     198
0.36480     71.62000     207
0.36470     71.02000     216
0.36460     70.42000     225
0.36450     69.82000     234
0.36440     69.22000     243
0.36540     68.62000     276
0.36590     68.01330     288
0.36670     67.41000     309
0.36777     66.80727     340
0.36853     66.20093     361
0.36953     65.60667     388
0.37067     65.01423     422
0.37160     64.42000     447
0.37303     63.83810     487
0.37530     63.27480     555
0.37693     62.69350     601
0.37877     62.11960     653
0.38120     61.57050     726
0.38367     61.02333     797
0.38617     60.47333     872
0.38900     59.94490     954
0.39170     59.40640     1032
0.39440     58.86660     1110
0.39777     58.36923     1211
0.40123     57.88040     1312
0.40473     57.38933     1417
0.40870     56.93580     1533
0.41273     56.48753     1651
0.41700     56.06600     1779
0.42140     55.65860     1908
0.42630     55.30860     2055
0.43120     54.95980     2199
0.43627     54.63697     2348
0.44160     54.35760     2508
0.44707     54.10547     2669
0.45257     53.86040     2834
0.45823     53.65913     3001
0.46390     53.46000     3171
0.46983     53.37060     3346
0.47577     53.28120     3524
0.48163     53.15227     3697
0.48740     52.99080     3870
0.49337     52.90787     4046
0.49933     52.84393     4225
0.50533     52.80840     4402
0.51133     52.77917     4579
0.51733     52.77377     4759
0.52333     52.77000     4936
0.52933     52.77000     5116
0.53533     52.78807     5293
0.54133     52.81373     5473
0.54730     52.86170     5649
0.55327     52.91690     5828
0.55927     52.97250     6008
0.56527     53.02800     6188
0.57127     53.08360     6368
0.57727     53.13910     6548
0.58327     53.19470     6728
0.58927     53.25027     6908
0.59527     53.30580     7088
0.60127     53.36137     7268
0.60727     53.41690     7448
0.61327     53.47250     7628
0.61927     53.52800     7808
0.62527     53.58360     7988
0.63127     53.63910     8168
0.63727     53.69470     8348
0.64327     53.75027     8528
0.64927     53.80580     8708
0.65527     53.86137     8888
0.66127     53.91690     9068
0.66727     53.97250     9248
0.67327     54.02800     9428
0.67927     54.08360     9608
0.68527     54.13910     9788
0.69127     54.19470     9968
0.69727     54.25027     10148
0.70000     54.27560     10232
