#     D        Lambda1     Mbol = -7.5
0.02880     85.07760     0
0.02913     84.00903     10
0.02947     82.94037     20
0.02980     81.87180     30
0.03013     80.80313     40
0.03047     79.73447     50
0.03080     78.66590     60
0.03113     77.59723     70
0.03147     76.52867     80
0.03180     75.46000     90
0.03213     74.39133     100
0.03247     73.32277     110
0.03280     72.25410     120
0.03313     71.18553     130
0.03347     70.11687     140
0.03380     69.04820     150
0.03460     68.04200     171
0.03547     67.04760     196
0.03643     66.05827     223
0.03683     65.00493     235
0.03717     64.01426     245
0.03757     62.97440     256
0.03837     61.97340     278
0.03817     60.94353     295
0.03907     59.95500     335
0.04027     58.91011     371
0.04057     57.87333     388
0.04127     56.88793     410
0.04247     55.88983     443
0.04397     54.85707     487
0.04510     53.84500     516
0.04637     52.86587     554
0.04750     51.87150     585
0.04810     50.82730     603
0.04977     49.84847     650
0.05133     48.84037     694
0.05223     47.83363     718
0.05343     46.85283     751
0.05523     45.86653     805
0.05653     44.87077     841
0.05797     43.87437     881
0.05963     42.90020     928
0.06143     41.90100     980
0.06277     40.91123     1019
0.06447     39.92880     1067
0.06623     38.95030     1117
0.06803     37.97807     1171
0.07013     37.00787     1231
0.07173     36.03520     1276
0.07367     35.06003     1331
0.07600     34.09200     1398
0.07857     33.13727     1472
0.08163     32.19103     1561
0.08470     31.25410     1650
0.08760     30.30650     1734
0.09057     29.36550     1820
0.09393     28.43660     1918
0.09827     27.54440     2045
0.10187     26.62220     2150
0.10533     25.69780     2254
0.10880     24.77330     2358
0.11227     23.84890     2462
0.11573     22.92443     2566
0.11920     22.00000     2670
0.12267     21.07557     2774
0.12613     20.15110     2878
0.12960     19.22670     2982
0.13307     18.30220     3086
0.13653     17.37780     3190
0.14000     16.45330     3294
0.14347     15.52890     3398
0.14693     14.60443     3502
0.15040     13.68000     3606
0.15387     12.75557     3710
0.15733     11.83110     3814
0.16080     10.90670     3918
0.16427     9.98220     4022
0.16773     9.05780     4126
0.17120     8.13330     4230
0.17467     7.20890     4334
0.17813     6.28443     4438
0.18160     5.36000     4542
0.18507     4.43557     4646
0.18853     3.51110     4750
0.19200     2.58670     4854
0.19547     1.66220     4958
0.19893     0.73780     5062
0.20240     -0.18670     5166
0.20587     -1.11110     5270
0.20933     -2.03557     5374
0.21280     -2.96000     5478
0.21627     -3.88443     5582
0.21973     -4.80890     5686
0.22320     -5.73330     5790
0.22667     -6.65780     5894
0.23013     -7.58220     5998
0.23360     -8.50670     6102
0.23707     -9.43110     6206
0.23930     -10.02670     6275
