0.0045000000000000005    85.1195
0.00453     85.03763     0
0.00493     84.05506     13
0.00533     83.07254     25
0.00573     82.08997     37
0.00613     81.10738     49
0.00653     80.12486     61
0.00693     79.14227     73
0.00733     78.15976     85
0.00773     77.17717     97
0.00813     76.19467     109
0.00853     75.21206     121
0.00893     74.22951     133
0.00933     73.24697     145
0.00978     72.26175     160
0.01048     71.26000     181
0.01110     70.26525     201
0.01183     69.26585     223
0.01230     68.23825     237
0.01273     67.23866     250
0.01322     66.24501     266
0.01405     65.19850     285
0.01543     64.23306     310
0.01616     63.23043     329
0.01731     62.23795     359
0.01809     61.25393     379
0.01887     60.25080     395
0.01954     59.23121     415
0.02004     58.24462     430
0.02107     57.27333     458
0.02185     56.26570     477
0.02276     55.28978     503
0.02379     54.30907     532
0.02510     53.32820     570
0.02613     52.33345     592
0.02692     51.35827     617
0.02798     50.36405     649
0.02935     49.39170     687
0.03044     48.39881     716
0.03162     47.40822     749
0.03292     46.43437     788
0.03435     45.45865     828
0.03578     44.47597     868
0.03728     43.51109     910
0.03875     42.54045     954
0.04025     41.56355     996
0.04168     40.58487     1036
0.04310     39.61290     1074
0.04448     38.63630     1117
0.04637     37.66955     1169
0.04823     36.71058     1222
0.05013     35.75030     1276
0.05258     34.80797     1351
0.05498     33.86420     1420
0.05765     32.92335     1497
0.06035     31.97230     1575
0.06225     31.01505     1629
0.06502     30.07468     1709
0.06868     29.16521     1816
0.07215     28.24985     1917
0.07525     27.32465     2010
0.07785     26.38285     2085
0.08050     25.44575     2166
0.08320     24.50465     2247
0.08590     23.56355     2328
0.08860     22.62230     2409
0.09130     21.68120     2490
0.09400     20.74010     2571
0.09670     19.79900     2652
0.09940     18.85790     2733
0.10210     17.91665     2814
0.10480     16.97555     2895
0.10750     16.03445     2976
0.11020     15.09335     3057
0.11290     14.15210     3138
0.11560     13.21100     3219
0.11830     12.26990     3300
0.12100     11.32880     3381
0.12370     10.38770     3462
0.12640     9.44645     3543
0.12910     8.50535     3624
0.13180     7.56425     3705
0.13450     6.62315     3786
0.13720     5.68205     3867
0.13990     4.74080     3948
0.14260     3.79970     4029
0.14530     2.85860     4110
0.14800     1.91750     4191
0.15070     0.97640     4272
0.15340     0.03515     4353
0.15610     -0.90595     4434
0.15880     -1.84705     4515
0.16150     -2.78815     4596
0.16420     -3.72925     4677
0.16690     -4.67050     4758
0.16960     -5.61160     4839
0.17230     -6.55270     4920
0.17500     -7.49380     5001
0.17770     -8.43505     5082
0.18040     -9.37615     5163
0.18220     -10.00360     5217
