#     D        Lambda1     Mv = -6.0
0.01550     85.12570     0
0.01590     83.99710     12
0.01630     82.86860     24
0.01670     81.74000     36
0.01710     80.61140     48
0.01750     79.48290     60
0.01790     78.35430     72
0.01830     77.22570     84
0.01870     76.09710     96
0.01910     74.96860     108
0.01950     73.84000     120
0.01990     72.71140     132
0.02030     71.58290     144
0.02070     70.45430     156
0.02110     69.32570     168
0.02145     68.22930     180
0.02150     67.14597     193
0.02150     66.06264     206
0.02150     64.97930     219
0.02237     63.93230     245
0.02282     62.85647     262
0.02317     61.77650     281
0.02393     60.73503     304
0.02448     59.68238     323
0.02487     58.59503     343
0.02610     57.53740     378
0.02723     56.47240     409
0.02827     55.42150     439
0.02980     54.37390     483
0.03120     53.34250     522
0.03250     52.30710     561
0.03437     51.27237     614
0.03637     50.24200     674
0.03800     49.20410     720
0.04050     48.18410     792
0.04297     47.16077     863
0.04520     46.13520     927
0.04790     45.12740     1005
0.05120     44.14030     1104
0.05413     43.14073     1189
0.05697     42.13317     1274
0.06003     41.12893     1363
0.06290     40.12880     1446
0.06593     39.12927     1534
0.06937     38.14123     1634
0.07283     37.15257     1735
0.07647     36.17020     1841
0.08023     35.19283     1951
0.08423     34.22470     2068
0.08777     33.24083     2171
0.09150     32.26620     2280
0.09537     31.29843     2393
0.09960     30.34340     2514
0.10520     29.46590     2682
0.11080     28.58850     2850
0.11640     27.71110     3018
0.12200     26.83370     3186
0.12760     25.95630     3354
0.13320     25.07880     3522
0.13880     24.20140     3690
0.14440     23.32400     3858
0.15000     22.44660     4026
0.15560     21.56920     4194
0.16120     20.69180     4362
0.16680     19.81430     4530
0.17240     18.93690     4698
0.17800     18.05950     4866
0.18360     17.18210     5034
0.18920     16.30470     5202
0.19480     15.42720     5370
0.20040     14.54980     5538
0.20600     13.67240     5706
0.21160     12.79500     5874
0.21720     11.91760     6042
0.22280     11.04010     6210
0.22840     10.16270     6378
0.23400     9.28530     6546
0.23960     8.40790     6714
0.24520     7.53050     6882
0.25080     6.65300     7050
0.25640     5.77560     7218
0.26200     4.89820     7386
0.26760     4.02080     7554
0.27320     3.14340     7722
0.27880     2.26590     7890
0.28440     1.38850     8058
0.29000     0.51110     8226
0.29560     -0.36630     8394
0.30120     -1.24370     8562
0.30680     -2.12120     8730
0.31240     -2.99860     8898
0.31800     -3.87600     9066
0.32360     -4.75340     9234
0.32920     -5.63080     9402
0.33480     -6.50820     9570
0.34040     -7.38570     9738
0.34600     -8.26310     9906
0.35160     -9.14050     10074
0.35710     -10.00230     10241
