0.0063    84.585935
0.00635     84.58831     0
0.00716     83.52039     17
0.00770     82.42689     28
0.00825     81.33351     39
0.00881     80.24000     50
0.00935     79.14658     61
0.00990     78.05311     72
0.01046     76.95965     83
0.01100     75.86618     94
0.01155     74.77271     105
0.01210     73.67926     116
0.01265     72.58584     127
0.01320     71.49231     138
0.01375     70.39894     149
0.01430     69.30544     160
0.01485     68.21206     171
0.01530     67.11561     183
0.01530     66.03227     196
0.01530     64.94894     209
0.01610     63.91089     235
0.01685     62.79978     253
0.01716     61.74558     270
0.01744     60.68713     285
0.01850     59.61727     313
0.01887     58.55522     328
0.01907     57.50051     343
0.02046     56.46010     383
0.02169     55.40005     417
0.02278     54.35995     447
0.02438     53.31998     496
0.02556     52.27054     527
0.02665     51.22069     560
0.02831     50.19138     607
0.03018     49.16742     663
0.03188     48.12360     711
0.03406     47.10325     773
0.03636     46.08874     838
0.03844     45.07275     897
0.04033     44.05082     955
0.04364     43.06860     1050
0.04664     42.07270     1137
0.04911     41.06333     1213
0.05171     40.06162     1288
0.05459     39.06321     1374
0.05701     38.05475     1444
0.05964     37.04265     1518
0.06263     36.04705     1605
0.06606     35.06461     1705
0.06934     34.07910     1800
0.07301     33.10117     1906
0.07626     32.11481     2000
0.08019     31.15547     2115
0.08331     30.15933     2206
0.08680     29.18406     2306
0.09033     28.21111     2409
0.09463     27.26735     2535
0.10081     26.43127     2722
0.10711     25.60479     2912
0.11284     24.74215     3087
0.11886     23.89940     3269
0.12476     23.04402     3448
0.13034     22.16673     3615
0.13590     21.28965     3782
0.14146     20.41254     3949
0.14703     19.53529     4116
0.15260     18.65819     4283
0.15816     17.78107     4450
0.16373     16.90398     4617
0.16931     16.02669     4784
0.17486     15.14962     4951
0.18044     14.27249     5118
0.18601     13.39525     5285
0.19156     12.51812     5452
0.19714     11.64103     5619
0.20270     10.76385     5786
0.20826     9.88667     5953
0.21383     9.00956     6120
0.21940     8.13240     6287
0.22496     7.25522     6454
0.23053     6.37808     6621
0.23611     5.50095     6788
0.24166     4.62377     6955
0.24723     3.74663     7122
0.25281     2.86949     7289
0.25836     1.99232     7456
0.26393     1.11513     7623
0.26950     0.23805     7790
0.27506     -0.63916     7957
0.28064     -1.51632     8124
0.28620     -2.39341     8291
0.29176     -3.27053     8458
0.29734     -4.14776     8625
0.30290     -5.02491     8792
0.30846     -5.90198     8959
0.31404     -6.77927     9126
0.31961     -7.65635     9293
0.32516     -8.53348     9460
0.33074     -9.41057     9627
0.33446     -9.99893     9739
