#     D        Lambda1     Mv = 0.5
0.60110     85.01000     0
0.59623     84.52333     146
0.59137     84.03667     292
0.58650     83.55000     438
0.58163     83.06333     584
0.57677     82.57667     730
0.57190     82.09000     876
0.56703     81.60333     1022
0.56217     81.11667     1168
0.55730     80.63000     1314
0.55243     80.14333     1460
0.54757     79.65667     1606
0.54270     79.17000     1752
0.53783     78.68333     1898
0.53297     78.19667     2044
0.52810     77.71000     2190
0.52323     77.22333     2336
0.51837     76.73667     2482
0.51350     76.25000     2628
0.50863     75.76333     2774
0.50377     75.27667     2920
0.49890     74.79000     3066
0.49403     74.30333     3212
0.48917     73.81667     3358
0.48430     73.33000     3504
0.47943     72.84333     3650
0.47457     72.35667     3796
0.46970     71.87000     3942
0.46483     71.38333     4088
0.45997     70.89667     4234
0.45510     70.41000     4380
0.45023     69.92333     4526
0.44537     69.43667     4672
0.44040     68.96120     4818
0.43537     68.48760     4967
0.43033     68.01870     5117
0.42570     67.50750     5253
0.42140     66.97000     5382
0.41750     66.40390     5496
0.41370     65.82630     5607
0.41007     65.23587     5716
0.40813     64.57333     5771
0.40547     63.93250     5848
0.40367     63.24947     5899
0.40343     62.54777     5917
0.40397     61.81887     5933
0.40453     61.11677     5948
0.40673     60.45940     6013
0.40960     59.83160     6096
0.41300     59.23470     6195
0.41640     58.63780     6297
0.42077     58.10503     6425
0.42523     57.58083     6556
0.42953     57.04333     6685
0.43443     56.55707     6829
0.43960     56.10120     6984
0.44470     55.63880     7134
0.44980     55.17120     7284
0.45497     54.71603     7439
0.46030     54.28250     7596
0.46590     53.88180     7764
0.47143     53.47177     7927
0.47690     53.05600     8091
0.48277     52.69613     8264
0.48873     52.34920     8440
0.49470     52.00670     8619
0.50067     51.66413     8798
0.50663     51.32160     8977
0.51260     50.97910     9156
0.51857     50.63653     9335
0.52453     50.29400     9514
0.53050     49.95150     9693
0.53647     49.60893     9872
0.54243     49.26640     10051
0.54840     48.92390     10230
0.55437     48.58133     10409
0.56033     48.23880     10588
0.56630     47.89630     10767
0.57227     47.55380     10946
0.57823     47.21120     11125
0.58420     46.86870     11304
0.59017     46.52620     11483
0.59613     46.18367     11662
0.60210     45.84110     11841
0.60807     45.49860     12020
0.61403     45.15607     12199
0.62000     44.81350     12378
0.62597     44.47100     12557
0.63193     44.12847     12736
0.63790     43.78590     12915
0.64387     43.44340     13094
0.64983     43.10087     13273
0.65580     42.75830     13452
0.66177     42.41580     13631
0.66773     42.07327     13810
0.67370     41.73070     13989
0.67967     41.38820     14168
0.68563     41.04570     14347
0.69160     40.70310     14526
0.69757     40.36060     14705
0.70000     40.22090     14780
