#     D        Lambda1     Mv = 0.75
0.60581     84.54001     0
0.60164     84.06649     11
0.59745     83.59295     22
0.59326     83.11943     33
0.58909     82.64594     44
0.58490     82.17240     55
0.58071     81.69886     66
0.57654     81.22534     77
0.57235     80.75180     88
0.56816     80.27831     99
0.56399     79.80479     110
0.55980     79.33125     121
0.55561     78.85771     132
0.55144     78.38419     143
0.54725     77.91070     154
0.54306     77.43716     165
0.53889     76.96364     176
0.53470     76.49010     187
0.53051     76.01656     198
0.52634     75.54307     209
0.52215     75.06955     220
0.51796     74.59601     231
0.51379     74.12249     242
0.50960     73.64895     253
0.50541     73.17543     264
0.50124     72.70192     275
0.49705     72.22840     286
0.49286     71.75486     297
0.48869     71.28134     308
0.48450     70.80780     319
0.48031     70.33355     330
0.47615     69.85591     341
0.47174     69.40642     352
0.46701     68.98415     363
0.46193     68.59721     374
0.45750     68.14705     385
0.45344     67.66754     396
0.44970     67.16310     407
0.44594     66.65212     418
0.44187     66.14904     429
0.44006     65.54298     440
0.43671     64.98785     451
0.43435     64.36420     462
0.43351     63.72249     473
0.43328     63.08564     483
0.43269     62.40667     494
0.43401     61.77783     505
0.43618     61.18065     516
0.43894     60.61392     527
0.44170     60.04665     538
0.44583     59.57140     549
0.44992     59.09195     560
0.45355     58.57408     571
0.45803     58.12893     582
0.46298     57.73398     593
0.46768     57.31450     604
0.47228     56.87755     615
0.47701     56.45898     626
0.48181     56.05451     637
0.48699     55.69582     648
0.49214     55.33257     659
0.49707     54.94327     670
0.50252     54.62652     681
0.50817     54.33751     692
0.51389     54.06566     703
0.51941     53.76164     714
0.52491     53.45696     725
0.53051     53.16442     736
0.53597     52.85428     747
0.54136     52.52767     758
0.54674     52.19968     769
0.55213     51.87161     780
0.55751     51.54357     791
0.56290     51.21558     802
0.56828     50.88751     813
0.57366     50.55947     824
0.57905     50.23148     835
0.58443     49.90350     846
0.58981     49.57538     857
0.59520     49.24738     868
0.60058     48.91940     879
0.60596     48.59138     890
0.61134     48.26329     901
0.61673     47.93530     912
0.62211     47.60728     923
0.62750     47.27919     934
0.63288     46.95118     945
0.63826     46.62313     956
0.64365     46.29504     967
0.64903     45.96705     978
0.65441     45.63903     989
0.65980     45.31094     1000
0.66518     44.98295     1011
0.67056     44.65493     1022
0.67594     44.32684     1033
0.68133     43.99885     1044
0.68671     43.67087     1055
0.69210     43.34275     1066
0.69748     43.01475     1077
0.70000     42.85960     1090
