0.0001    40.1735
0.00018     40.22500     0
0.00226     40.63000     12
0.00363     41.08109     23
0.00439     41.53810     34
0.00561     41.98319     45
0.00669     42.43577     56
0.00767     42.89751     67
0.00855     43.35422     78
0.00947     43.81949     89
0.01042     44.28335     100
0.01167     44.73306     111
0.01309     45.18155     122
0.01425     45.62723     133
0.01548     46.07531     144
0.01703     46.50696     155
0.01858     46.93621     166
0.02022     47.37321     177
0.02234     47.78862     188
0.02444     48.20468     199
0.02606     48.63268     210
0.02769     49.06055     221
0.02933     49.48843     232
0.03096     49.95721     244
0.03239     50.40159     255
0.03365     50.86585     266
0.03451     51.32958     277
0.03536     51.78369     288
0.03631     52.24253     299
0.03709     52.70520     310
0.03792     53.17914     321
0.03881     53.64100     332
0.03947     54.10756     343
0.03995     54.57545     354
0.04023     55.06103     365
0.04098     55.54988     377
0.04210     56.00135     388
0.04311     56.45732     399
0.04399     56.93436     410
0.04464     57.43028     421
0.04477     57.88962     431
0.04493     58.36755     441
0.04510     58.85591     452
0.04533     59.31625     463
0.04556     59.77927     473
0.04598     60.26354     484
0.04650     60.76527     494
0.04684     61.26214     505
0.04725     61.76074     516
0.04763     62.23084     527
0.04800     62.71903     538
0.04818     63.21009     550
0.04788     63.66555     561
0.04806     64.16132     572
0.04865     64.63825     584
0.04849     65.11820     596
0.04833     65.59814     608
0.04816     66.07809     620
0.04797     66.56415     632
0.04768     67.05524     644
0.04732     67.54279     656
0.04704     68.02584     668
0.04685     68.49747     680
0.04666     68.98918     692
0.04724     69.46449     703
0.04794     69.91784     714
0.04800     70.41324     726
0.04800     70.90900     738
0.04800     71.40477     750
0.04800     71.90053     762
0.04800     72.39629     774
0.04801     72.88490     786
0.04811     73.35973     798
0.04829     73.82811     810
0.04842     74.31425     822
0.04845     74.81006     834
0.04845     75.30583     846
0.04845     75.80159     858
0.04845     76.29735     870
0.04845     76.79312     882
0.04845     77.28888     894
0.04845     77.78464     906
0.04845     78.28041     918
0.04845     78.77617     930
0.04845     79.27194     942
0.04845     79.76770     954
0.04845     80.26346     966
0.04845     80.75923     978
0.04845     81.25499     990
0.04845     81.75075     1002
0.04845     82.24652     1014
0.04845     82.74228     1026
0.04845     83.23804     1038
0.04845     83.73381     1050
0.04845     84.22957     1062
0.04845     84.72534     1074
0.04845     85.00005     1090
