#      D        Lambda      PHIo= 0.93
0.00000     -8.49770     0
0.00953     -7.82817     284
0.01907     -7.15863     570
0.02860     -6.48920     856
0.03813     -5.81967     1142
0.04767     -5.15013     1428
0.05720     -4.48070     1714
0.06673     -3.81117     2000
0.07627     -3.14163     2286
0.08580     -2.47220     2572
0.09533     -1.80267     2858
0.10487     -1.13313     3144
0.11440     -0.46370     3430
0.12393     0.20583     3716
0.13347     0.87537     4002
0.14300     1.54480     4288
0.15253     2.21433     4574
0.16207     2.88387     4860
0.17160     3.55330     5146
0.18113     4.22283     5432
0.19073     4.88540     5717
0.19997     5.59800     5991
0.20937     6.28410     6270
0.21920     6.90830     6562
0.22850     7.60920     6841
0.23790     8.29540     7120
0.24757     8.94330     7407
0.25727     9.59217     7695
0.26630     10.32560     7963
0.27537     11.05743     8235
0.28470     11.75780     8512
0.29400     12.45580     8788
0.30320     13.17300     9061
0.31233     13.89797     9332
0.32140     14.62960     9604
0.33043     15.36820     9872
0.33830     16.22480     10105
0.34637     17.06687     10344
0.35473     17.88097     10592
0.36307     18.69843     10842
0.37130     19.52000     11086
0.37877     20.41153     11307
0.38573     21.34853     11513
0.39310     22.24950     11731
0.40027     23.17070     11943
0.40740     24.09210     12157
0.41357     25.08283     12339
0.41953     26.08453     12515
0.42560     27.08200     12694
0.43060     28.13320     12844
0.43567     29.18050     12993
0.44043     30.24170     13133
0.44400     31.35210     13240
0.44680     32.48270     13321
0.45063     33.58707     13433
0.45423     34.69570     13538
0.45667     35.84287     13611
0.45867     36.99360     13668
0.46060     38.14230     13723
0.46243     39.30387     13775
0.46370     40.46500     13813
0.46410     41.62710     40435
0.46410     42.78990     75319
0.46410     43.95270     110203
0.46410     45.11550     145087
0.46353     46.33557     156042
0.46290     47.51890     156061
0.46230     48.68560     156079
0.46160     49.88500     156100
0.46003     51.05520     156144
0.45797     52.21570     156203
0.45553     53.36287     156276
0.45350     54.52690     156334
0.45120     55.68000     156400
0.44850     56.82000     156478
0.44530     57.94000     156574
0.44360     59.09720     156622
0.44110     60.23310     156694
0.43743     61.35050     156801
0.43470     62.48290     156883
0.43127     63.59770     156983
0.42767     64.70563     157088
0.42417     65.81763     157190
0.42160     66.95430     157267
0.41790     68.06230     157375
0.41417     69.17347     157484
0.41080     70.28680     157582
0.40723     71.39713     157689
0.40280     72.47490     157819
0.39840     73.55220     157948
0.39457     74.65963     158063
0.39073     75.76707     158178
0.38690     76.87440     158293
0.38307     77.98183     158408
0.37923     79.08927     158523
0.37540     80.19670     158638
0.37157     81.30403     158753
0.36773     82.41147     158868
0.36390     83.51890     158983
0.36007     84.62633     159098
0.35870     85.02110     159141
