#      D        Lambda      PHIo=1.05
0.06070     -10.00140     0
0.07107     -9.39467     309
0.08143     -8.78787     620
0.09177     -8.18303     930
0.10213     -7.57627     1241
0.11247     -6.97143     1551
0.12283     -6.36467     1862
0.13317     -5.75983     2172
0.14353     -5.15303     2483
0.15387     -4.54823     2793
0.16423     -3.94143     3104
0.17457     -3.33663     3414
0.18493     -2.72983     3725
0.19527     -2.12503     4035
0.20563     -1.51823     4346
0.21597     -0.91337     4656
0.22633     -0.30663     4967
0.23677     0.28033     5277
0.24747     0.82647     5595
0.25810     1.38070     5911
0.26860     1.95760     6223
0.27913     2.53270     6536
0.28987     3.07203     6858
0.30053     3.61963     7175
0.31103     4.20137     7487
0.32147     4.78993     7797
0.33180     5.39740     8104
0.34097     6.17280     8376
0.35087     6.85343     8672
0.36017     7.60967     8949
0.36997     8.30323     9240
0.37947     9.03870     9522
0.38890     9.78070     9802
0.39827     10.53137     10080
0.40687     11.36707     10338
0.41503     12.24457     10580
0.42353     13.09443     10832
0.43207     13.93667     11085
0.44047     14.79480     11334
0.44827     15.70780     11567
0.45607     16.62080     11799
0.46237     17.64027     11985
0.46943     18.60877     12194
0.47717     19.53107     12425
0.48337     20.56300     12608
0.48887     21.63513     12771
0.49423     22.70660     12929
0.49950     23.78260     13084
0.50460     24.86820     13234
0.50810     26.01360     13339
0.51077     27.18430     13416
0.51370     28.35090     13501
0.51707     29.50663     13599
0.51973     30.68763     13679
0.52160     31.87780     13732
0.52343     33.07757     13784
0.52547     34.31077     13844
0.52680     35.52650     13882
0.52773     36.73593     13907
0.52840     37.95670     13927
0.52900     39.15287     18828
0.52900     40.35057     54759
0.52900     41.54827     90690
0.52900     42.74597     126621
0.52867     43.94780     149855
0.52800     45.16445     149875
0.52730     46.37560     149896
0.52613     47.59570     149928
0.52510     48.84330     149956
0.52447     50.04447     149975
0.52363     51.28153     149999
0.52237     52.48980     150035
0.52107     53.69120     150074
0.51977     54.89250     150113
0.51847     56.09390     150152
0.51717     57.29530     150191
0.51587     58.49670     150230
0.51427     59.68860     150275
0.51177     60.86713     150350
0.50840     62.02180     150448
0.50530     63.17940     150538
0.50257     64.36000     150617
0.50003     65.54897     150692
0.49640     66.69080     150799
0.49253     67.83060     150912
0.48867     68.96540     151025
0.48497     70.10690     151134
0.48063     71.22523     151263
0.47667     72.35637     151379
0.47253     73.48167     151500
0.46807     74.59833     151634
0.46337     75.70760     151772
0.45867     76.81497     151910
0.45377     77.91317     152054
0.44913     79.02463     152190
0.44487     80.14617     152318
0.44060     81.26770     152446
0.43633     82.38923     152574
0.43207     83.51077     152702
0.42780     84.63230     152830
0.42640     85.00030     152874
