    0.2970    -10.0068
0.29710     -9.99990     0
0.30637     -9.36220     279
0.31563     -8.72440     557
0.32490     -8.08660     835
0.33417     -7.44890     1113
0.34343     -6.81110     1391
0.35270     -6.17340     1669
0.36197     -5.53560     1947
0.37240     -5.11200     2254
0.38217     -4.54877     2538
0.39223     -4.04543     2837
0.40193     -3.47357     3122
0.41167     -2.91003     3408
0.42113     -2.29843     3686
0.43063     -1.69673     3962
0.44037     -1.12897     4245
0.44960     -0.48390     4516
0.45937     0.07417     4800
0.46853     0.72557     5069
0.47787     1.35267     5342
0.48707     1.99953     5613
0.49643     2.62370     5885
0.50537     3.30900     6147
0.51433     3.98703     6410
0.52367     4.61817     6681
0.53283     5.27427     6950
0.54127     6.01957     7197
0.54940     6.79810     7435
0.55800     7.52170     7687
0.56590     8.32400     7918
0.57347     9.15490     8139
0.58047     10.03383     8343
0.58793     10.87420     8561
0.59480     11.76810     8761
0.60090     12.71870     8938
0.60657     13.69627     9102
0.61087     14.74310     9227
0.61523     15.78633     9353
0.61907     16.85040     9462
0.62200     17.94650     9544
0.62583     19.00583     9653
0.62847     20.11260     9726
0.62993     21.22803     9767
0.63133     22.35720     9803
0.63227     23.49557     9828
0.63320     24.62120     9853
0.63397     25.74220     9876
0.63413     26.90443     9894
0.63373     28.05030     28103
0.63213     29.21890     28146
0.63083     30.35333     28179
0.62987     31.49777     28202
0.62857     32.66163     28233
0.62643     33.77137     28296
0.62423     34.88973     28362
0.62203     36.00807     28428
0.61983     37.12637     28494
0.61763     38.24473     28560
0.61543     39.36307     28626
0.61323     40.48137     28692
0.61103     41.59973     28758
0.60883     42.71807     28824
0.60663     43.83637     28890
0.60443     44.95473     28956
0.60223     46.07307     29022
0.60003     47.19137     29088
0.59783     48.30973     29154
0.59563     49.42807     29220
0.59343     50.54637     29286
0.59123     51.66473     29352
0.58903     52.78307     29418
0.58683     53.90137     29484
0.58463     55.01973     29550
0.58243     56.13807     29616
0.58023     57.25637     29682
0.57803     58.37473     29748
0.57583     59.49307     29814
0.57363     60.61137     29880
0.57143     61.72973     29946
0.56923     62.84807     30012
0.56703     63.96637     30078
0.56483     65.08473     30144
0.56263     66.20307     30210
0.56043     67.32137     30276
0.55823     68.43973     30342
0.55603     69.55807     30408
0.55383     70.67637     30474
0.55163     71.79473     30540
0.54943     72.91307     30606
0.54723     74.03137     30672
0.54503     75.14973     30738
0.54283     76.26807     30804
0.54063     77.38637     30870
0.53843     78.50473     30936
0.53623     79.62307     31002
0.53403     80.74137     31068
0.53183     81.85973     31134
0.52963     82.97807     31200
0.52743     84.09637     31266
0.52560     85.02830     31323
