0.4324    85.0195
0.43256     85.29220     0
0.43715     84.78815     12
0.44175     84.28394     23
0.44635     83.77980     34
0.45095     83.27570     45
0.45554     82.77150     56
0.46016     82.26745     67
0.46387     81.66874     79
0.46765     81.07575     91
0.47176     80.49450     103
0.47533     79.88996     115
0.47810     79.24048     127
0.48082     78.58607     139
0.48367     77.93824     151
0.48698     77.31551     163
0.48995     76.68055     175
0.49286     76.03014     187
0.49599     75.40185     199
0.49922     74.78048     211
0.50124     74.14933     222
0.50415     73.50413     234
0.50715     72.86661     246
0.50987     72.21387     258
0.51266     71.56753     270
0.51554     70.92418     282
0.51835     70.27339     294
0.52138     69.63209     306
0.52495     69.01927     318
0.52767     68.36281     330
0.53076     67.73595     342
0.53345     67.13710     353
0.53615     66.48712     365
0.53890     65.83783     377
0.54154     65.18498     389
0.54436     64.53985     401
0.54730     63.89775     413
0.55030     63.26261     425
0.55347     62.63451     437
0.55684     62.01363     449
0.55989     61.37878     461
0.56289     60.73565     473
0.56450     60.09982     484
0.56772     59.46695     496
0.57100     58.84330     508
0.57436     58.23713     519
0.57797     57.65296     530
0.58171     57.06525     541
0.58492     56.43694     552
0.58804     55.80915     563
0.59121     55.17922     574
0.59434     54.59542     584
0.59739     53.96702     595
0.60059     53.33442     606
0.60365     52.70860     617
0.60644     52.09542     628
0.60929     51.48692     639
0.61195     50.82786     651
0.61463     50.16761     663
0.61719     49.56079     674
0.61966     48.91036     686
0.62185     48.26282     698
0.62408     47.61445     710
0.62632     46.96105     722
0.62855     46.30762     734
0.63079     45.65420     746
0.63303     45.00080     758
0.63526     44.34735     770
0.63750     43.69395     782
0.63974     43.04050     794
0.64197     42.38710     806
0.64421     41.73369     818
0.64645     41.08025     830
0.64868     40.42685     842
0.65092     39.77342     854
0.65315     39.12000     866
0.65539     38.46660     878
0.65763     37.81316     890
0.65986     37.15975     902
0.66210     36.50635     914
0.66437     35.85290     926
0.66710     35.19950     938
0.66985     34.60054     949
0.67260     34.00155     960
0.67535     33.40259     971
0.67810     32.80360     982
0.68085     32.20465     993
0.68360     31.60569     1004
0.68635     31.00670     1015
0.68910     30.40775     1026
0.69185     29.80879     1037
0.69460     29.20980     1048
0.69735     28.61085     1059
0.70010     28.01189     1070
0.70295     27.35419     1081
0.70535     26.68375     1089
0.70565     26.59995     1091
