#      D       Lambda1    TE = A5
0.70000     14.39050     0
0.69760     15.12250     72
0.69520     15.85450     144
0.69280     16.58650     216
0.69040     17.31850     288
0.68800     18.05050     360
0.68560     18.78250     432
0.68320     19.51450     504
0.68080     20.24650     576
0.67840     20.97850     648
0.67600     21.71050     720
0.67360     22.44250     792
0.67120     23.17450     864
0.66880     23.90650     936
0.66640     24.63850     1008
0.66400     25.37050     1080
0.66160     26.10250     1152
0.65920     26.83450     1224
0.65680     27.56650     1296
0.65440     28.29850     1368
0.65200     29.03050     1440
0.64960     29.76250     1512
0.64720     30.49450     1584
0.64480     31.22650     1656
0.64240     31.95850     1728
0.64000     32.69050     1800
0.63760     33.42250     1872
0.63520     34.15450     1944
0.63280     34.88650     2016
0.63040     35.61850     2088
0.62800     36.35050     2160
0.62560     37.08250     2232
0.62320     37.81450     2304
0.62080     38.54650     2376
0.61840     39.27850     2448
0.61600     40.01050     2520
0.61360     40.74250     2592
0.61120     41.47450     2664
0.60880     42.20650     2736
0.60640     42.93850     2808
0.60400     43.67050     2880
0.60160     44.40250     2952
0.59920     45.13450     3024
0.59680     45.86650     3096
0.59440     46.59850     3168
0.59200     47.33050     3240
0.58960     48.06250     3312
0.58720     48.79450     3384
0.58480     49.52650     3456
0.58240     50.25850     3528
0.57997     50.98733     3599
0.57663     51.68287     3695
0.57337     52.38283     3793
0.57063     53.09770     3869
0.56727     53.78620     3967
0.56357     54.46390     4075
0.56107     55.19423     4147
0.55773     55.89023     4244
0.55447     56.58517     4336
0.55087     57.26667     4438
0.54740     57.95060     4539
0.54417     58.64707     4630
0.54087     59.33967     4723
0.53763     60.04067     4814
0.53440     60.73500     4908
0.53137     61.44070     4996
0.52810     62.13500     5091
0.52480     62.82630     5184
0.52163     63.53293     5276
0.51820     64.21690     5376
0.51510     64.92390     5463
0.51133     65.59457     5573
0.50790     66.28500     5670
0.50467     66.98553     5767
0.50143     67.68610     5864
0.49823     68.38093     5957
0.49507     69.08323     6049
0.49180     69.78000     6144
0.48847     70.47263     6241
0.48517     71.16923     6340
0.48223     71.88703     6425
0.47890     72.57540     6522
0.47557     73.26433     6619
0.47230     73.96780     6714
0.46920     74.67000     6804
0.46580     75.35710     6903
0.46257     76.05757     6997
0.45957     76.76667     7084
0.45643     77.47247     7175
0.45340     78.17720     7263
0.44967     78.84667     7375
0.44593     79.51610     7487
0.44220     80.18550     7599
0.43847     80.85497     7711
0.43473     81.52433     7823
0.43100     82.19380     7935
0.42727     82.86320     8047
0.42353     83.53263     8159
0.41980     84.20210     8271
0.41607     84.87147     8383
0.41530     85.00900     8408
