#      D       Lambda1    TE = F6
0.09510     85.01000     0
0.09990     84.09800     144
0.10470     83.18600     288
0.10950     82.27400     432
0.11430     81.36200     576
0.11910     80.45000     720
0.12390     79.53800     864
0.12870     78.62600     1008
0.13350     77.71400     1152
0.13783     76.77617     1279
0.14083     75.78370     1366
0.14380     74.79690     1449
0.14700     73.81000     1542
0.15033     72.82597     1639
0.15343     71.83417     1729
0.15630     70.84000     1812
0.16000     69.87000     1917
0.16327     68.89000     2015
0.16657     67.90650     2111
0.16957     66.91263     2198
0.17333     65.94600     2306
0.17710     64.98510     2418
0.18067     64.00767     2522
0.18413     63.03203     2626
0.18753     62.05780     2725
0.19110     61.08550     2829
0.19473     60.11983     2938
0.19837     59.14773     3044
0.20197     58.18023     3152
0.20557     57.21273     3260
0.20910     56.23670     3363
0.21200     55.24380     3447
0.21590     54.28500     3561
0.21990     53.33150     3678
0.22323     52.35573     3775
0.22713     51.39720     3889
0.23100     50.43270     4002
0.23463     49.46793     4108
0.23823     48.49933     4213
0.24200     47.53370     4323
0.24557     46.55967     4427
0.24970     45.60820     4548
0.25363     44.65050     4663
0.25750     43.68890     4776
0.26230     42.77510     4917
0.26677     41.83723     5045
0.27090     40.89290     5166
0.27530     39.96030     5295
0.27977     39.02923     5426
0.28430     38.10090     5559
0.28840     37.15400     5679
0.29327     36.24037     5822
0.29787     35.31703     5957
0.30253     34.39020     6091
0.30717     33.46257     6227
0.31213     32.55143     6373
0.31660     31.61670     6504
0.32167     30.71713     6653
0.32673     29.81323     6802
0.33167     28.90363     6950
0.33630     27.98170     7086
0.34107     27.06533     7226
0.34633     26.17197     7381
0.35143     25.26960     7531
0.35637     24.36463     7676
0.36163     23.47673     7829
0.36677     22.58043     7982
0.37170     21.67480     8127
0.37640     20.75570     8265
0.38107     19.83583     8402
0.38593     18.92260     8546
0.39027     17.98177     8672
0.39400     17.01790     8781
0.39760     16.04720     8886
0.40107     15.07687     8987
0.40450     14.09510     9087
0.40760     13.10130     9177
0.41007     12.09173     9248
0.41227     11.07250     9311
0.41367     10.01057     9350
0.41328     8.93333     9373
0.41301     7.84218     9385
0.41163     6.80863     9428
0.40850     5.82010     9519
0.40493     4.85283     9626
0.40137     3.88567     9733
0.39780     2.91850     9840
0.39423     1.95127     9947
0.39067     0.98407     10054
0.38710     0.01690     10161
0.38353     -0.95033     10268
0.37997     -1.91753     10375
0.37640     -2.88470     10482
0.37283     -3.85187     10589
0.36927     -4.81913     10696
0.36570     -5.78630     10803
0.36213     -6.75347     10910
0.35857     -7.72067     11017
0.35500     -8.68790     11124
0.35143     -9.65507     11231
0.35010     -10.01660     11273
