#      D       Lambda1    TE = G0
0.02810     85.04290     0
0.03013     84.07463     61
0.03217     83.10637     122
0.03420     82.13810     183
0.03623     81.16983     244
0.03827     80.20157     305
0.04030     79.23330     366
0.04233     78.26510     427
0.04437     77.29687     488
0.04640     76.32860     549
0.04843     75.36033     610
0.05093     74.39570     682
0.05310     73.42000     744
0.05537     72.45647     809
0.05790     71.49150     882
0.06050     70.53470     957
0.06280     69.56020     1023
0.06507     68.58583     1088
0.06737     67.62180     1154
0.07027     66.66617     1241
0.07313     65.71857     1324
0.07577     64.75197     1400
0.07787     63.77727     1463
0.08043     62.81423     1537
0.08297     61.85513     1610
0.08563     60.89623     1687
0.08857     59.94913     1772
0.09120     58.98380     1848
0.09373     58.02490     1924
0.09657     57.07143     2006
0.09963     56.12807     2095
0.10233     55.17673     2173
0.10523     54.22313     2260
0.10790     53.26000     2337
0.11063     52.31067     2416
0.11337     51.35500     2495
0.11593     50.39413     2569
0.11863     49.44283     2647
0.12157     48.49883     2732
0.12443     47.55073     2815
0.12733     46.60317     2899
0.13023     45.65873     2983
0.13320     44.70760     3069
0.13613     43.75977     3154
0.13957     42.82803     3254
0.14280     41.88740     3348
0.14557     40.93867     3425
0.14847     39.98603     3509
0.15143     39.04347     3595
0.15433     38.09433     3679
0.15730     37.14660     3765
0.16030     36.20050     3852
0.16330     35.25440     3939
0.16630     34.31130     4026
0.16933     33.36870     4114
0.17260     32.42880     4209
0.17583     31.49113     4306
0.17920     30.56050     4404
0.18267     29.62877     4505
0.18610     28.69690     4605
0.18950     27.76010     4704
0.19247     26.80763     4793
0.19597     25.86730     4894
0.19953     24.93770     4996
0.20323     24.01737     5104
0.20723     23.10820     5218
0.21077     22.18610     5324
0.21490     21.28070     5442
0.21880     20.37290     5556
0.22293     19.47283     5677
0.22687     18.56080     5792
0.23057     17.63787     5900
0.23413     16.71137     6004
0.23750     15.78200     6099
0.24090     14.85380     6198
0.24440     13.92540     6300
0.24757     12.98500     6392
0.25007     12.02267     6461
0.25270     11.05920     6537
0.25527     10.10397     6611
0.25633     9.11893     6643
0.25730     8.13400     6669
0.25840     7.14520     6702
0.25950     6.15640     6735
0.26060     5.16760     6768
0.26170     4.17890     6801
0.26280     3.19010     6834
0.26390     2.20130     6867
0.26500     1.21250     6900
0.26610     0.22380     6933
0.26720     -0.76500     6966
0.26830     -1.75380     6999
0.26940     -2.74260     7032
0.27050     -3.73140     7065
0.27160     -4.72010     7098
0.27270     -5.70890     7131
0.27380     -6.69770     7164
0.27490     -7.68650     7197
0.27600     -8.67520     7230
0.27710     -9.66400     7263
0.27750     -10.02360     7277
