#     D        Lambda1     TE = A0 
0.00000     -8.49770     0
0.00953     -7.82817     286
0.01907     -7.15863     572
0.02860     -6.48920     858
0.03813     -5.81967     1144
0.04767     -5.15013     1430
0.05720     -4.48070     1716
0.06673     -3.81117     2002
0.07627     -3.14163     2288
0.08580     -2.47220     2574
0.09533     -1.80267     2860
0.10487     -1.13313     3146
0.11440     -0.46370     3432
0.12393     0.20583     3718
0.13347     0.87537     4004
0.14300     1.54480     4290
0.15253     2.21433     4576
0.16207     2.88387     4862
0.17160     3.55330     5148
0.18113     4.22283     5434
0.19073     4.88540     5719
0.19997     5.59800     5993
0.20937     6.28410     6272
0.21920     6.90830     6564
0.22850     7.60920     6843
0.23790     8.29540     7122
0.24757     8.94330     7409
0.25727     9.59217     7697
0.26630     10.32560     7965
0.27537     11.05743     8237
0.28470     11.75780     8514
0.29400     12.45580     8790
0.30320     13.17300     9063
0.31233     13.89797     9334
0.32140     14.62960     9606
0.33043     15.36820     9874
0.33830     16.22480     10107
0.34637     17.06687     10346
0.35473     17.88097     10594
0.36307     18.69843     10844
0.37130     19.52000     11088
0.37877     20.41153     11309
0.38573     21.34853     11515
0.39310     22.24950     11733
0.40027     23.17070     11945
0.40740     24.09210     12159
0.41357     25.08283     12341
0.41953     26.08453     12517
0.42560     27.08200     12696
0.43060     28.13320     12846
0.43567     29.18050     12995
0.44043     30.24170     13135
0.44400     31.35210     13242
0.44680     32.48270     13323
0.45063     33.58707     13435
0.45423     34.69570     13540
0.45667     35.84287     13613
0.45867     36.99360     13670
0.46060     38.14230     13725
0.46243     39.30387     13777
0.46370     40.46500     13815
0.46410     41.62710     40437
0.46410     42.78990     75321
0.46410     43.95270     110205
0.46410     45.11550     145089
0.46353     46.33557     156044
0.46290     47.51890     156063
0.46230     48.68560     156081
0.46160     49.88500     156102
0.46003     51.05520     156146
0.45797     52.21570     156205
0.45553     53.36287     156278
0.45350     54.52690     156336
0.45120     55.68000     156402
0.44850     56.82000     156480
0.44530     57.94000     156576
0.44360     59.09720     156624
0.44110     60.23310     156696
0.43743     61.35050     156803
0.43470     62.48290     156885
0.43127     63.59770     156985
0.42767     64.70563     157090
0.42417     65.81763     157192
0.42160     66.95430     157269
0.41790     68.06230     157377
0.41417     69.17347     157486
0.41080     70.28680     157584
0.40723     71.39713     157691
0.40280     72.47490     157821
0.39840     73.55220     157950
0.39457     74.65963     158065
0.39073     75.76707     158180
0.38690     76.87440     158295
0.38307     77.98183     158410
0.37923     79.08927     158525
0.37540     80.19670     158640
0.37157     81.30403     158755
0.36773     82.41147     158870
0.36390     83.51890     158985
0.36007     84.62633     159100
0.35870     85.02110     159143
