#     D        Lambda1     TE = A2
0.06070     -10.00140     0
0.07107     -9.39467     311
0.08143     -8.78787     622
0.09177     -8.18303     932
0.10213     -7.57627     1243
0.11247     -6.97143     1553
0.12283     -6.36467     1864
0.13317     -5.75983     2174
0.14353     -5.15303     2485
0.15387     -4.54823     2795
0.16423     -3.94143     3106
0.17457     -3.33663     3416
0.18493     -2.72983     3727
0.19527     -2.12503     4037
0.20563     -1.51823     4348
0.21597     -0.91337     4658
0.22633     -0.30663     4969
0.23677     0.28033     5279
0.24747     0.82647     5597
0.25810     1.38070     5913
0.26860     1.95760     6225
0.27913     2.53270     6538
0.28987     3.07203     6860
0.30053     3.61963     7177
0.31103     4.20137     7489
0.32147     4.78993     7799
0.33180     5.39740     8106
0.34097     6.17280     8378
0.35087     6.85343     8674
0.36017     7.60967     8951
0.36997     8.30323     9242
0.37947     9.03870     9524
0.38890     9.78070     9804
0.39827     10.53137     10082
0.40687     11.36707     10340
0.41503     12.24457     10582
0.42353     13.09443     10834
0.43207     13.93667     11087
0.44047     14.79480     11336
0.44827     15.70780     11569
0.45607     16.62080     11801
0.46237     17.64027     11987
0.46943     18.60877     12196
0.47717     19.53107     12427
0.48337     20.56300     12610
0.48887     21.63513     12773
0.49423     22.70660     12931
0.49950     23.78260     13086
0.50460     24.86820     13236
0.50810     26.01360     13341
0.51077     27.18430     13418
0.51370     28.35090     13503
0.51707     29.50663     13601
0.51973     30.68763     13681
0.52160     31.87780     13734
0.52343     33.07757     13786
0.52547     34.31077     13846
0.52680     35.52650     13884
0.52773     36.73593     13909
0.52840     37.95670     13929
0.52900     39.15287     18830
0.52900     40.35057     54761
0.52900     41.54827     90692
0.52900     42.74597     126623
0.52867     43.94780     149857
0.52800     45.16445     149877
0.52730     46.37560     149898
0.52613     47.59570     149930
0.52510     48.84330     149958
0.52447     50.04447     149977
0.52363     51.28153     150001
0.52237     52.48980     150037
0.52107     53.69120     150076
0.51977     54.89250     150115
0.51847     56.09390     150154
0.51717     57.29530     150193
0.51587     58.49670     150232
0.51427     59.68860     150277
0.51177     60.86713     150352
0.50840     62.02180     150450
0.50530     63.17940     150540
0.50257     64.36000     150619
0.50003     65.54897     150694
0.49640     66.69080     150801
0.49253     67.83060     150914
0.48867     68.96540     151027
0.48497     70.10690     151136
0.48063     71.22523     151265
0.47667     72.35637     151381
0.47253     73.48167     151502
0.46807     74.59833     151636
0.46337     75.70760     151774
0.45867     76.81497     151912
0.45377     77.91317     152056
0.44913     79.02463     152192
0.44487     80.14617     152320
0.44060     81.26770     152448
0.43633     82.38923     152576
0.43207     83.51077     152704
0.42780     84.63230     152832
0.42640     85.00030     152876
