#     D        Lambda1     TE = A5
0.29700     -10.00680     0
0.30630     -9.36680     186
0.31560     -8.72670     372
0.32490     -8.08660     558
0.33420     -7.44660     744
0.34350     -6.80650     930
0.35280     -6.16650     1116
0.36210     -5.52640     1302
0.37253     -5.10420     1412
0.38230     -4.54000     1605
0.39240     -4.03910     1748
0.40210     -3.46100     1931
0.41185     -2.89930     2124
0.42130     -2.28820     2311
0.43085     -1.68585     2500
0.44055     -1.11485     2692
0.44980     -0.47080     2875
0.45960     0.09120     3068
0.46880     0.74450     3250
0.47815     1.37255     3435
0.48735     2.01975     3618
0.49670     2.64510     3803
0.50565     3.32765     3981
0.51467     4.01190     4161
0.52400     4.64450     4346
0.53315     5.30230     4528
0.54160     6.05110     4697
0.54975     6.82850     4890
0.55837     7.55843     5086
0.56627     8.36297     5310
0.57383     9.19773     5536
0.58083     10.08077     5746
0.58827     10.92647     5939
0.59517     11.81667     6160
0.60120     12.76750     6387
0.60680     13.74480     6616
0.61110     14.78890     6849
0.61537     15.82914     7072
0.61919     16.88889     7311
0.62210     17.97940     7539
0.62593     19.03679     7767
0.62851     20.13235     7998
0.62998     21.24768     8227
0.63134     22.36689     8457
0.63226     23.49066     8686
0.63319     24.61135     8913
0.63396     25.73557     9140
0.63417     26.86071     9368
0.63378     27.98792     15541
0.63220     29.10330     15767
0.63093     30.22138     15994
0.62996     31.34436     16223
0.62876     32.46539     16451
0.62682     33.57576     16688
0.62465     34.68021     16927
0.62247     35.78468     17166
0.62030     36.88920     17405
0.61813     37.99365     17644
0.61595     39.09809     17883
0.61378     40.20255     18122
0.61161     41.30707     18361
0.60944     42.41153     18600
0.60726     43.51597     18839
0.60509     44.62043     19078
0.60292     45.72495     19317
0.60075     46.82941     19556
0.59857     47.93385     19795
0.59640     49.03830     20034
0.59423     50.14282     20273
0.59205     51.24729     20512
0.58988     52.35174     20751
0.58771     53.45618     20990
0.58554     54.56069     21229
0.58336     55.66517     21468
0.58119     56.76962     21707
0.57902     57.87406     21946
0.57685     58.97856     22185
0.57467     60.08305     22424
0.57250     61.18750     22663
0.57033     62.29195     22902
0.56815     63.39644     23141
0.56598     64.50094     23380
0.56381     65.60538     23619
0.56164     66.70983     23858
0.55946     67.81431     24097
0.55729     68.91882     24336
0.55512     70.02326     24575
0.55295     71.12771     24814
0.55077     72.23218     25053
0.54860     73.33670     25292
0.54643     74.44115     25531
0.54425     75.54559     25770
0.54208     76.65005     26009
0.53991     77.75457     26248
0.53774     78.85903     26487
0.53556     79.96347     26726
0.53339     81.06793     26965
0.53122     82.17245     27204
0.52905     83.27691     27443
0.52687     84.38135     27682
0.52560     85.02830     27823
