#     D        Lambda1     TE = B0
0.00010     28.28220     0
0.00297     28.78813     86
0.00587     29.30003     173
0.00877     29.81190     260
0.01160     30.32260     342
0.01437     30.83937     425
0.01713     31.35613     505
0.01997     31.86707     587
0.02310     32.35960     681
0.02583     32.88137     760
0.02817     33.42647     829
0.03047     33.96380     896
0.03273     34.50770     961
0.03493     35.05083     1027
0.03713     35.59393     1093
0.03933     36.13703     1159
0.04160     36.67830     1224
0.04380     37.21740     1287
0.04583     37.76917     1346
0.04813     38.31167     1414
0.05033     38.85943     1477
0.05243     39.40987     1540
0.05433     39.96103     1594
0.05557     40.53773     1628
0.05673     41.11447     1663
0.05790     41.69120     1698
0.05907     42.26783     1733
0.06023     42.84457     1768
0.06140     43.42120     1803
0.06253     44.03860     1835
0.06317     44.63437     1853
0.06380     45.23150     1872
0.06457     45.80903     1892
0.06557     46.39537     1922
0.06657     46.98167     1952
0.06757     47.56807     1982
0.06857     48.15437     2012
0.06953     48.78773     2039
0.07003     49.36733     2053
0.07057     49.96230     2066
0.07113     50.56113     2083
0.07170     51.16000     2100
0.07230     51.75210     2115
0.07297     52.33543     2135
0.07363     52.91877     2155
0.07423     53.51743     2170
0.07480     54.11650     2187
0.07537     54.71557     2204
0.07583     55.32727     2215
0.07623     55.93637     2227
0.07660     56.52830     2238
0.07693     57.11550     2248
0.07727     57.70260     2258
0.07763     58.31163     2269
0.07800     58.91160     2280
0.07836     59.53048     2291
0.07870     60.11720     2301
0.07903     60.73955     2311
0.07923     61.33777     2318
0.07940     61.98010     2328
0.07957     62.64347     2337
0.07971     63.27231     2344
0.07985     63.85565     2352
0.08006     64.43957     2360
0.08077     65.02310     2381
0.08153     65.61013     2404
0.08180     66.19117     16010
0.08180     66.77283     33460
0.08180     67.35450     50910
0.08180     67.93617     68360
0.08180     68.51783     85810
0.08180     69.09950     103260
0.08180     69.68117     120710
0.08180     70.26283     138160
0.08180     70.84450     155610
0.08180     71.42617     173060
0.08180     72.00783     190510
0.08180     72.58950     207960
0.08180     73.17117     225410
0.08180     73.75283     242860
0.08180     74.33450     260310
0.08180     74.91617     277760
0.08180     75.49783     295210
0.08180     76.07950     312660
0.08180     76.66117     330110
0.08180     77.24283     347560
0.08180     77.82450     365010
0.08180     78.40617     382460
0.08180     78.98783     399910
0.08180     79.56950     417360
0.08180     80.15117     434810
0.08180     80.73283     452260
0.08180     81.31450     469710
0.08180     81.89617     487160
0.08180     82.47783     504610
0.08180     83.05950     522060
0.08180     83.64117     539510
0.08180     84.22283     556960
0.08180     84.80450     574410
0.08180     85.00010     580280
