#     D        Lambda1     TE = B5
0.00010     2.18010     0
0.00560     2.90980     165
0.01110     3.63950     330
0.01660     4.36910     495
0.02210     5.09880     660
0.02760     5.82850     825
0.03310     6.55810     990
0.03860     7.28780     1155
0.04410     8.01750     1320
0.04960     8.74720     1485
0.05510     9.47680     1650
0.06060     10.20650     1815
0.06610     10.93620     1980
0.07160     11.66580     2145
0.07710     12.39550     2310
0.08260     13.12520     2475
0.08810     13.85490     2640
0.09353     14.58893     2806
0.09903     15.32017     2968
0.10447     16.05543     3128
0.10970     16.80400     3285
0.11493     17.55073     3439
0.12020     18.30230     3594
0.12530     19.05940     3747
0.13040     19.81560     3897
0.13553     20.57100     4051
0.14127     21.28337     4220
0.14717     21.98017     4397
0.15143     22.79080     4522
0.15600     23.58030     4656
0.16123     24.32887     4813
0.16637     25.08597     4964
0.17147     25.84307     5117
0.17620     26.62910     5256
0.18090     27.41700     5397
0.18567     28.19540     5537
0.19040     28.98140     5676
0.19480     29.78330     5808
0.19870     30.61200     5922
0.20253     31.44173     6034
0.20653     32.26457     6154
0.21047     33.09260     6269
0.21430     33.92110     6384
0.21790     34.76500     6489
0.22137     35.61110     6590
0.22433     36.47310     6679
0.22743     37.33490     6769
0.23073     38.18530     6868
0.23377     39.04753     6956
0.23677     39.93083     7045
0.23893     40.81830     7108
0.24107     41.71933     7169
0.24310     42.61400     7230
0.24487     43.52273     7280
0.24650     44.44110     7326
0.24800     45.35220     7371
0.24950     46.25830     7413
0.25103     47.17237     7459
0.25230     48.09970     7494
0.25337     49.01820     7526
0.25393     49.96000     7540
0.25430     50.87057     20465
0.25430     51.78187     47804
0.25430     52.69317     75143
0.25430     53.60447     102482
0.25430     54.51577     129821
0.25410     55.43320     152457
0.25323     56.37640     152483
0.25237     57.28807     152506
0.25137     58.20473     152536
0.25037     59.11950     152563
0.24937     60.03130     152593
0.24810     60.93570     152628
0.24670     61.84320     152670
0.24553     62.76177     152702
0.24440     63.66870     152733
0.24297     64.57827     152776
0.24143     65.48890     152819
0.23973     66.39553     152870
0.23803     67.29970     152918
0.23633     68.20317     152969
0.23487     69.11363     153010
0.23277     70.01013     153070
0.22990     70.88070     153156
0.22703     71.75137     153242
0.22417     72.62200     153328
0.22130     73.49260     153414
0.21843     74.36320     153500
0.21557     75.23383     153586
0.21270     76.10440     153672
0.20983     76.97507     153758
0.20697     77.84570     153844
0.20410     78.71630     153930
0.20123     79.58690     154016
0.19837     80.45753     154102
0.19550     81.32810     154188
0.19263     82.19877     154274
0.18977     83.06940     154360
0.18690     83.94000     154446
0.18403     84.81060     154532
0.18340     85.00300     154553
