#     D        Lambda1     TE = O6
0.00010     37.70520     0
0.00233     38.13737     67
0.00417     38.59273     119
0.00553     39.05580     157
0.00720     39.51100     207
0.00877     39.97103     251
0.01027     40.43820     296
0.01167     40.90257     335
0.01307     41.37457     377
0.01447     41.84657     419
0.01587     42.31853     461
0.01727     42.79047     503
0.01847     43.26007     536
0.01970     43.73270     570
0.02117     44.19383     614
0.02263     44.65247     655
0.02413     45.11837     700
0.02590     45.57140     750
0.02767     46.02347     800
0.02910     46.48430     843
0.03053     46.94503     886
0.03197     47.40580     929
0.03340     47.86660     972
0.03480     48.33270     1011
0.03613     48.81467     1049
0.03717     49.29720     1079
0.03823     49.77073     1108
0.03940     50.24800     1143
0.04043     50.72583     1171
0.04150     51.21710     1200
0.04267     51.69437     1235
0.04367     52.17630     1262
0.04457     52.65457     1289
0.04527     53.15423     1307
0.04593     53.63120     1324
0.04687     54.11907     1352
0.04773     54.60610     1375
0.04850     55.10270     1398
0.04924     55.61109     1420
0.04953     56.12200     1429
0.04983     56.65300     1438
0.05013     57.15793     1447
0.05047     57.63863     1457
0.05083     58.15527     1468
0.05130     58.65610     1479
0.05187     59.20213     1495
0.05227     59.70783     1505
0.05267     60.22600     1517
0.05303     60.73190     1525
0.05340     61.24440     1536
0.05370     61.72427     7553
0.05370     62.20507     21977
0.05400     62.71470     23634
0.05450     63.19287     23945
0.05450     63.67367     38369
0.05450     64.15447     52793
0.05450     64.63527     67217
0.05450     65.11607     81641
0.05450     65.59687     96065
0.05450     66.07767     110489
0.05450     66.55847     124913
0.05450     67.03927     139337
0.05450     67.52007     153761
0.05450     68.00087     168185
0.05493     68.49693     169072
0.05540     68.97540     171813
0.05540     69.45617     186236
0.05540     69.93697     200660
0.05540     70.41777     215084
0.05540     70.89857     229508
0.05540     71.37937     243932
0.05540     71.86017     258356
0.05540     72.34097     272780
0.05540     72.82177     287204
0.05540     73.30257     301628
0.05540     73.78337     316052
0.05540     74.26417     330476
0.05540     74.74497     344900
0.05540     75.22577     359324
0.05540     75.70657     373748
0.05540     76.18737     388172
0.05540     76.66817     402596
0.05540     77.14897     417020
0.05540     77.62977     431444
0.05540     78.11057     445868
0.05540     78.59137     460292
0.05540     79.07217     474716
0.05540     79.55297     489140
0.05540     80.03377     503564
0.05540     80.51457     517988
0.05540     80.99537     532412
0.05540     81.47617     546836
0.05540     81.95697     561260
0.05540     82.43777     575684
0.05540     82.91857     590108
0.05540     83.39937     604532
0.05540     83.88017     618956
0.05540     84.36097     633380
0.05540     84.84177     647804
0.05540     85.00000     652553
