#      D       Lambda1    TE = O8
0.00010     32.76860     0
0.00273     33.23400     79
0.00537     33.69933     158
0.00803     34.17200     236
0.01057     34.64873     311
0.01310     35.12560     387
0.01563     35.60247     463
0.01807     36.08387     533
0.02043     36.56933     604
0.02280     37.05480     675
0.02453     37.57107     724
0.02583     38.08927     763
0.02713     38.60750     802
0.02843     39.12603     838
0.02973     39.64543     877
0.03103     40.16483     916
0.03233     40.68423     955
0.03340     41.21240     984
0.03443     41.73887     1015
0.03547     42.26533     1046
0.03650     42.79180     1077
0.03753     43.31830     1108
0.03880     43.84540     1143
0.04010     44.36360     1182
0.04140     44.88180     1221
0.04280     45.39720     1260
0.04433     45.91160     1306
0.04587     46.42603     1352
0.04740     46.94050     1398
0.04900     47.46050     1443
0.05063     47.97113     1492
0.05227     48.48180     1541
0.05390     48.99250     1590
0.05553     49.50313     1639
0.05647     50.04027     1664
0.05697     50.60027     1679
0.05747     51.16027     1694
0.05797     51.70920     1708
0.05853     52.24500     1723
0.05910     52.77930     1740
0.05967     53.31330     1756
0.06023     53.84477     1771
0.06080     54.37600     1788
0.06137     54.90727     1805
0.06193     55.44123     1819
0.06250     55.97550     1836
0.06307     56.50987     1853
0.06343     57.06573     1861
0.06377     57.64907     1871
0.06413     58.20600     1880
0.06473     58.75263     1897
0.06533     59.28410     1915
0.06587     59.82147     1931
0.06617     60.38210     1940
0.06647     60.94460     1949
0.06676     61.50710     1958
0.06707     62.06960     1967
0.06737     62.63210     1976
0.06777     63.16767     1985
0.06843     63.71623     2005
0.06910     64.26480     2025
0.06953     64.82573     2038
0.06987     65.40907     2048
0.07020     65.94153     5779
0.07020     66.47503     21784
0.07020     67.00853     37789
0.07020     67.54203     53794
0.07020     68.07553     69799
0.07020     68.60903     85804
0.07020     69.14253     101809
0.07020     69.67603     117814
0.07020     70.20953     133819
0.07017     70.77453     149134
0.06983     71.35330     149144
0.06950     71.94050     149154
0.06930     72.47363     159868
0.06930     73.00713     175873
0.06930     73.54063     191878
0.06930     74.07413     207883
0.06930     74.60763     223888
0.06930     75.14113     239893
0.06930     75.67463     255898
0.06930     76.20813     271903
0.06930     76.74163     287908
0.06930     77.27513     303913
0.06930     77.80863     319918
0.06930     78.34213     335923
0.06930     78.87563     351928
0.06930     79.40913     367933
0.06930     79.94263     383938
0.06930     80.47613     399943
0.06930     81.00963     415948
0.06930     81.54313     431953
0.06930     82.07663     447958
0.06930     82.61013     463963
0.06930     83.14363     479968
0.06930     83.67713     495973
0.06930     84.21063     511978
0.06930     84.74413     527983
0.06930     85.00010     535664
