#      D       Lambda1    TE = A7
0.38110     85.03000     0
0.38310     84.03000     60
0.38510     83.03000     120
0.38710     82.03000     180
0.38910     81.03000     240
0.39110     80.03000     300
0.39310     79.03000     360
0.39510     78.03000     420
0.39947     77.11980     548
0.40387     76.20313     674
0.40750     75.26000     780
0.41133     74.31860     889
0.41550     73.39540     1011
0.41960     72.46830     1128
0.42397     71.55023     1256
0.42800     70.62110     1374
0.43193     69.68617     1492
0.43607     68.75623     1612
0.44050     67.84140     1743
0.44473     66.92250     1867
0.44860     65.98470     1980
0.45350     65.10110     2124
0.45813     64.19863     2260
0.46247     63.28127     2387
0.46723     62.38450     2524
0.47187     61.48060     2663
0.47597     60.55580     2780
0.48063     59.65333     2917
0.48510     58.74050     3045
0.48967     57.83840     3179
0.49417     56.93467     3311
0.49883     56.03623     3448
0.50337     55.12690     3581
0.50750     54.20470     3699
0.51247     53.32277     3845
0.51717     52.42777     3983
0.52150     51.51330     4110
0.52610     50.61000     4248
0.53053     49.69587     4375
0.53487     48.77887     4502
0.53913     47.85750     4627
0.54347     46.94543     4754
0.54803     46.03850     4888
0.55243     45.12633     5017
0.55693     44.21870     5149
0.56143     43.30850     5281
0.56637     42.42470     5426
0.57050     41.49590     5547
0.57470     40.56800     5667
0.57863     39.63657     5782
0.58287     38.71723     5906
0.58687     37.78750     6020
0.59070     36.84690     6132
0.59460     35.90830     6246
0.59907     34.99667     6377
0.60277     34.05747     6485
0.60677     33.12667     6599
0.61050     32.18230     6708
0.61367     31.21267     6800
0.61697     30.23367     6895
0.61947     29.24587     6968
0.62190     28.25880     7038
0.62473     27.28093     7120
0.62703     26.27833     7186
0.62860     25.27200     7230
0.63030     24.25810     7278
0.63200     23.26000     7329
0.63370     22.26190     7380
0.63540     21.26390     7431
0.63710     20.26580     7482
0.63880     19.26770     7533
0.64050     18.26970     7584
0.64220     17.27160     7635
0.64390     16.27360     7686
0.64560     15.27550     7737
0.64730     14.27740     7788
0.64900     13.27940     7839
0.65070     12.28130     7890
0.65240     11.28320     7941
0.65410     10.28520     7992
0.65580     9.28710     8043
0.65750     8.28900     8094
0.65920     7.29100     8145
0.66090     6.29290     8196
0.66260     5.29480     8247
0.66430     4.29680     8298
0.66600     3.29870     8349
0.66770     2.30060     8400
0.66940     1.30260     8451
0.67110     0.30450     8502
0.67280     -0.69350     8553
0.67450     -1.69160     8604
0.67620     -2.68970     8655
0.67790     -3.68770     8706
0.67960     -4.68580     8757
0.68130     -5.68390     8808
0.68300     -6.68190     8859
0.68470     -7.68000     8910
0.68640     -8.67810     8961
0.68810     -9.67610     9012
0.68870     -10.02840     9032
