#      D       Lambda1    TE = F4
0.16050     85.03000     0
0.16390     84.01000     102
0.16730     82.99000     204
0.17070     81.97000     306
0.17410     80.95000     408
0.17750     79.93000     510
0.18090     78.91000     612
0.18430     77.89000     714
0.18770     76.87000     816
0.19133     75.86377     922
0.19537     74.86757     1040
0.19930     73.86710     1155
0.20293     72.85753     1259
0.20700     71.86630     1377
0.21110     70.87400     1497
0.21513     69.88413     1615
0.21893     68.88377     1726
0.22290     67.89120     1842
0.22697     66.89730     1961
0.23133     65.91453     2089
0.23573     64.94033     2218
0.23973     63.94400     2335
0.24410     62.96860     2463
0.24867     62.00030     2597
0.25273     61.00980     2713
0.25743     60.04443     2851
0.26177     59.06223     2981
0.26633     58.09603     3115
0.27083     57.12307     3247
0.27510     56.13840     3372
0.27937     55.15427     3497
0.28367     54.17587     3626
0.28823     53.20147     3758
0.29277     52.23033     3890
0.29723     51.26027     4024
0.30180     50.29400     4155
0.30630     49.31790     4287
0.31097     48.35120     4427
0.31583     47.39603     4570
0.32070     46.43860     4713
0.32567     45.48920     4859
0.33087     44.54980     5009
0.33590     43.60330     5157
0.34110     42.67120     5310
0.34670     41.76200     5475
0.35177     40.81630     5621
0.35703     39.88170     5776
0.36217     38.93893     5927
0.36737     38.00630     6080
0.37247     37.05883     6229
0.37790     36.13450     6387
0.38307     35.19883     6539
0.38820     34.25780     6690
0.39347     33.32310     6845
0.39867     32.38667     6998
0.40373     31.44573     7147
0.40923     30.52430     7309
0.41463     29.59947     7468
0.41997     28.67453     7625
0.42513     27.73393     7777
0.43047     26.80230     7931
0.43540     25.85050     8076
0.44100     24.93550     8241
0.44597     23.98740     8386
0.45097     23.04190     8534
0.45577     22.08667     8675
0.46057     21.13160     8816
0.46543     20.17893     8959
0.47053     19.23777     9109
0.47490     18.25780     9234
0.47883     17.26230     9349
0.48260     16.26260     9459
0.48590     15.24520     9555
0.48910     14.22500     9645
0.49163     13.18333     9718
0.49283     12.08880     9749
0.49400     11.02790     23940
0.49373     9.93990     52988
0.49203     8.88477     53036
0.48913     7.85537     53122
0.48517     6.86063     53236
0.48047     5.89703     53374
0.47523     4.96713     53527
0.46913     4.08730     53705
0.46293     3.21470     53888
0.45657     2.35720     54079
0.45020     1.49970     54270
0.44383     0.64217     54461
0.43747     -0.21537     54652
0.43110     -1.07290     54843
0.42473     -1.93040     55034
0.41837     -2.78790     55225
0.41200     -3.64540     55416
0.40563     -4.50290     55607
0.39927     -5.36040     55798
0.39290     -6.21790     55989
0.38653     -7.07543     56180
0.38017     -7.93297     56371
0.37380     -8.79050     56562
0.36743     -9.64800     56753
0.36480     -10.00270     56834
