0.01665    85.02510000000001
0.01668     85.01058     0
0.01862     84.04387     59
0.02052     83.06149     116
0.02242     82.07927     173
0.02432     81.09689     230
0.02622     80.11454     287
0.02812     79.13232     344
0.03002     78.14994     401
0.03192     77.16761     458
0.03382     76.18534     515
0.03572     75.20299     572
0.03770     74.23540     627
0.04020     73.27485     699
0.04222     72.29620     758
0.04435     71.32545     822
0.04683     70.36588     895
0.04930     69.40310     966
0.05140     68.42895     1026
0.05343     67.44915     1084
0.05545     66.46905     1146
0.05817     65.51575     1223
0.06118     64.57408     1312
0.06375     63.61785     1386
0.06555     62.64055     1440
0.06758     61.67268     1498
0.06990     60.69325     1563
0.07220     59.72885     1629
0.07480     58.77240     1704
0.07783     57.82699     1792
0.08017     56.86374     1865
0.08262     55.90031     1940
0.08545     54.95195     2022
0.08838     54.00833     2107
0.09108     53.05004     2185
0.09395     52.10105     2271
0.09635     51.14310     2340
0.09895     50.18810     2415
0.10157     49.22687     2489
0.10397     48.26722     2558
0.10655     47.31630     2631
0.10945     46.36730     2715
0.11227     45.41682     2795
0.11508     44.46504     2875
0.11805     43.51900     2961
0.12088     42.56956     3043
0.12402     41.63413     3134
0.12685     40.68865     3216
0.13038     39.76813     3319
0.13323     38.81517     3403
0.13582     37.86539     3473
0.13885     36.92290     3561
0.14157     35.97530     3644
0.14432     35.01984     3719
0.14700     34.06945     3801
0.14990     33.11705     3885
0.15263     32.16378     3964
0.15553     31.21966     4048
0.15848     30.27481     4132
0.16172     29.33689     4226
0.16490     28.40210     4323
0.16822     27.46689     4421
0.17173     26.54087     4522
0.17503     25.60719     4618
0.17818     24.66655     4711
0.18085     23.71380     4791
0.18398     22.78001     4882
0.18775     21.86600     4989
0.19114     20.93790     5087
0.19510     20.03280     5202
0.19872     19.10932     5309
0.20287     18.21635     5426
0.20647     17.29624     5531
0.21082     16.40809     5660
0.21472     15.49515     5774
0.21822     14.56977     5876
0.22172     13.64545     5978
0.22497     12.70908     6068
0.22785     11.76635     6156
0.23125     10.83830     6249
0.23430     9.90150     6336
0.23693     8.93995     6412
0.23890     7.97525     6468
0.24105     7.00955     6528
0.24318     6.04505     6589
0.24478     4.98386     6637
0.24521     3.93809     6647
0.24598     2.95114     6670
0.24682     1.95737     6695
0.24765     0.96360     6720
0.24843     -0.01842     6745
0.24927     -1.02855     6770
0.25010     -2.03875     6795
0.25093     -3.04886     6820
0.25172     -4.04323     6845
0.25255     -5.05095     6870
0.25338     -6.05867     6895
0.25419     -7.05825     6920
0.25500     -8.07025     6945
0.25583     -9.08672     6970
0.25650     -9.89985     6990
