#     D        Lambda1      !Teff =37500
0.00228     46.76171     0
0.00486     47.08991     14
0.00719     47.43318     27
0.00960     47.78430     40
0.01198     48.11357     52
0.01431     48.45270     64
0.01651     48.79893     76
0.01867     49.14612     88
0.02078     49.50241     100
0.02267     49.85159     111
0.02455     50.20075     122
0.02660     50.55646     133
0.02860     50.91815     143
0.03055     51.28023     153
0.03251     51.64218     163
0.03453     52.01127     173
0.03629     52.38426     183
0.03748     52.79442     194
0.03822     53.20363     205
0.03893     53.61170     216
0.03955     54.02276     227
0.04014     54.43814     238
0.04076     54.85333     249
0.04176     55.24814     260
0.04311     55.62117     271
0.04450     56.00568     282
0.04559     56.40020     293
0.04642     56.79169     304
0.04720     57.18650     315
0.04767     57.58936     326
0.04770     58.00976     337
0.04759     58.43917     348
0.04761     58.86169     359
0.04768     59.27946     370
0.04765     59.69101     381
0.04760     60.09739     392
0.04757     60.50356     403
0.04732     60.90927     414
0.04667     61.31362     425
0.04586     61.71717     436
0.04511     62.11807     447
0.04449     62.51364     458
0.04392     62.93305     470
0.04356     63.35137     482
0.04331     63.77194     494
0.04306     64.19232     506
0.04282     64.60348     518
0.04262     65.02053     530
0.04264     65.44245     540
0.04274     65.85218     550
0.04284     66.26193     560
0.04281     66.66738     571
0.04280     67.09810     583
0.04280     67.52870     595
0.04280     67.95930     607
0.04280     68.38990     619
0.04280     68.82050     631
0.04280     69.25110     643
0.04280     69.68170     655
0.04287     70.11039     667
0.04287     70.51830     678
0.04253     70.94255     689
0.04200     71.37133     700
0.04145     71.76295     710
0.04085     72.18230     721
0.04038     72.60768     732
0.04006     73.02149     743
0.03979     73.41828     754
0.03937     73.83163     765
0.03885     74.24718     776
0.03835     74.64396     786
0.03778     75.06246     797
0.03708     75.48083     809
0.03632     75.89083     821
0.03575     76.31055     833
0.03571     76.73796     845
0.03587     77.16653     857
0.03604     77.59509     869
0.03620     78.02365     881
0.03636     78.45222     893
0.03653     78.88078     905
0.03669     79.30934     917
0.03685     79.73791     929
0.03702     80.16647     941
0.03718     80.59503     953
0.03735     81.02360     965
0.03751     81.45216     977
0.03767     81.88073     989
0.03784     82.30929     1001
0.03800     82.73785     1013
0.03816     83.16642     1025
0.03833     83.59499     1037
0.03848     84.00521     1048
0.03860     84.40463     1057
0.03872     84.80670     1066
0.03880     85.06937     1078
