#     D        Lambda1      !Teff =9250
0.15934     -9.95890     0
0.17032     -9.45982     9
0.18086     -9.00593     20
0.19142     -8.55201     31
0.20197     -8.09806     42
0.21251     -7.64411     53
0.22307     -7.19017     64
0.23362     -6.73627     75
0.24416     -6.28238     86
0.25470     -5.82665     97
0.26513     -5.35653     108
0.27537     -4.86246     119
0.28570     -4.38023     130
0.29574     -3.85369     141
0.30508     -3.21145     152
0.31375     -2.46966     163
0.32285     -1.79889     174
0.33032     -0.93414     185
0.33701     -0.00057     196
0.34368     0.92902     207
0.35061     1.83066     218
0.35757     2.72730     229
0.36459     3.61980     240
0.37141     4.52837     251
0.37815     5.44117     262
0.38567     6.28922     273
0.39363     7.10105     284
0.40149     7.92040     295
0.40901     8.77272     306
0.41630     9.64492     317
0.42384     10.49816     328
0.43146     11.34946     339
0.43890     12.21496     350
0.44605     13.10731     361
0.45250     14.04630     372
0.45895     14.97753     383
0.46553     15.90086     394
0.47190     16.83857     405
0.47783     17.81241     416
0.48304     18.84169     427
0.48785     19.89591     438
0.49362     20.88628     449
0.49979     21.85129     460
0.50606     22.80855     471
0.51221     23.77099     482
0.51773     24.77174     493
0.52365     25.74179     504
0.53021     26.78561     516
0.53621     27.75118     527
0.54226     28.72091     538
0.54722     29.74721     549
0.55089     30.82454     560
0.55316     31.93722     571
0.55357     33.07981     582
0.55328     34.30853     594
0.55304     35.53198     606
0.55261     36.70889     617
0.55174     37.91906     628
0.55082     39.07749     639
0.55051     40.30690     651
0.55063     41.46216     662
0.55044     42.63816     673
0.55003     43.78618     684
0.54922     44.92339     695
0.54834     46.06697     706
0.54779     47.28222     717
0.54719     48.48867     728
0.54614     49.62424     739
0.54414     50.74575     750
0.54152     51.86434     761
0.53891     52.98289     772
0.53629     54.10145     783
0.53367     55.22005     794
0.53106     56.33860     805
0.52844     57.45718     816
0.52582     58.57577     827
0.52327     59.69817     838
0.52108     60.82052     849
0.51926     61.95048     860
0.51754     63.08312     871
0.51556     64.19934     882
0.51343     65.31493     893
0.51107     66.43469     904
0.50807     67.54078     915
0.50531     68.74064     927
0.50351     69.85747     938
0.50191     70.99129     949
0.50068     72.12781     960
0.49937     73.26782     971
0.49786     74.42519     982
0.49646     75.56654     993
0.49453     76.68579     1004
0.49268     77.82221     1015
0.49159     78.97579     1026
0.49068     80.20231     1038
0.48976     81.41140     1050
0.48883     82.62049     1062
0.48789     83.82958     1074
0.48717     84.82542     1084
