#     D        Lambda1      !Teff =9500
0.14733     -9.99837     0
0.15720     -9.45790     297
0.16707     -8.91743     593
0.17693     -8.37697     889
0.18680     -7.83650     1185
0.19667     -7.29600     1481
0.20653     -6.75547     1777
0.21640     -6.21500     2073
0.22627     -5.67453     2369
0.23613     -5.13407     2665
0.24600     -4.59360     2961
0.25587     -4.05303     3257
0.26573     -3.51257     3553
0.27560     -2.97210     3849
0.28517     -2.37647     4133
0.29413     -1.69040     4400
0.30357     -1.08223     4682
0.31153     -0.28920     4918
0.31893     0.56010     5137
0.32617     1.42207     5351
0.33343     2.28347     5566
0.34067     3.14453     5783
0.34790     4.00760     5997
0.35500     4.88410     6207
0.36187     5.77710     6410
0.36907     6.64180     6626
0.37663     7.47830     6850
0.38407     8.32013     7070
0.39123     9.18957     7282
0.39810     10.08360     7488
0.40500     10.97220     7692
0.41187     11.86307     7895
0.41857     12.76777     8093
0.42503     13.68947     8287
0.43093     14.65120     8461
0.43687     15.60490     8636
0.44327     16.53077     8825
0.44973     17.45247     9019
0.45617     18.37730     9209
0.46230     19.32510     9390
0.46800     20.29900     9558
0.47440     21.22620     9750
0.48117     22.12657     9950
0.48800     23.02290     10152
0.49453     23.93653     10345
0.50043     24.89913     10522
0.50643     25.84847     10699
0.51237     26.80210     10874
0.51790     27.78230     11040
0.52320     28.77250     11196
0.52773     29.80700     11329
0.53133     30.88067     11434
0.53383     31.98067     11509
0.53493     33.12997     11542
0.53520     36.67000     11550
0.53467     37.83670     11566
0.53403     39.01077     11585
0.53350     41.41010     11598
0.53300     42.57250     11613
0.53240     43.71670     11631
0.53153     44.86883     11654
0.53037     46.00117     11689
0.52960     47.17670     11709
0.52887     48.31590     11728
0.52793     49.45233     11756
0.52633     50.58130     11801
0.52417     51.69797     11866
0.52200     52.81460     11931
0.51983     53.93130     11996
0.51767     55.04797     12061
0.51550     56.16460     12126
0.51333     57.28130     12191
0.51117     58.39797     12256
0.50900     59.51460     12321
0.50683     60.63130     12386
0.50513     61.75057     12434
0.50363     62.87027     12476
0.50207     63.99870     12520
0.50020     65.11150     12576
0.49810     66.22620     12636
0.49553     67.32953     12710
0.49277     68.42463     12790
0.49100     69.54580     12843
0.48923     70.66693     12893
0.48750     71.79770     12942
0.48603     72.95130     12985
0.48447     74.07693     13030
0.48290     75.21220     13074
0.48127     76.33200     13120
0.47883     77.44130     13193
0.47717     78.55667     13240
0.47573     79.68667     13280
0.47427     80.82333     13324
0.47280     81.96000     13368
0.47133     83.09667     13412
0.46987     84.23333     13456
0.46883     85.03417     13487
